account_name,account_type,hq_city,hq_state,website_domain,fund_or_aum,verticals_active,states_active,platform_count,texas_exposure,sponsor_parent,trigger_type,trigger_date,trigger_source_url,contact_name,contact_title,verification,primary_source_url,last_checked,notes,tier,stage,source_key
Aeonic Partners,P2_FAMILY_OFFICE,,,,,industrial_services,,11,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/aeonic-partners,2026-08-17,"Buy-and-hold family office. Pro-Vigil (security), Health & Safety Institute.",3,Not reviewed,P2-001
Anchor Investments,P2_FAMILY_OFFICE,,,,,industrial_services,,,unknown,,NONE,,,,,DISCOVERY,https://ctacquisitions.com/guides/family-offices-acquiring-businesses-2026/,2026-08-17,Family office specializing in manufacturing/metal fabrication.,3,Not reviewed,P2-002
Applied Value Group,P2_FAMILY_OFFICE,,,,,industrial_services|energy_services,,8,unknown,,T3,2025-01-01,https://www.axial.net/company/applied-value-group,,,DISCOVERY,https://www.axial.net/company/applied-value-group,2026-08-17,"~25 private investments. ES Solar, Structural Steel of Carolina.",3,Not reviewed,P2-003
BlueAlpha Capital,P2_FAMILY_OFFICE,Southlake,TX,,,other,TX,7,yes,,NONE,,,,,DISCOVERY,https://www.axial.net/company/bluealpha-capital-single-family-office,2026-08-17,"SFO (Sanjay Chandra Family, est. 2006); buyout/growth/RE/credit.",3,Not reviewed,P2-004
Brandsma Asset Management,P2_FAMILY_OFFICE,,,,,other,,1,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/brandsma-asset-management,2026-08-17,SFO est. 2018 after family-business sale; 15+ investments.,3,Not reviewed,P2-005
Carlin Capital Partners,P2_FAMILY_OFFICE,,,,,industrial_services,,3,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/carlin-capital-partners,2026-08-17,"Father-son family PE (est. 2009). Support of Excavation, Rex Forge.",3,Not reviewed,P2-006
Carroll Capital,P2_FAMILY_OFFICE,Houston,TX,,,commercial_plumbing,TX,1,yes,,T3,2025-01-01,https://www.privsource.com/,Brian F. Carroll,Principal,DISCOVERY,https://www.privsource.com/,2026-08-17,"Charlie's Plumbing (Houston) platform buyout 2025, BMO debt cited.",3,Not reviewed,P2-007
Cottonwood Acquisitions,P2_FAMILY_OFFICE,Ronkonkoma,NY,cottonwoodacquisitions.com,,industrial_services,,12,unknown,,NONE,,,,,DISCOVERY,https://cottonwoodacquisitions.com/,2026-08-17,"Evergreen family office; 12 platforms, $1-10M cash-flow niche businesses, retiring-seller focus.",3,Not reviewed,P2-008
Cranbrook Partners,P2_FAMILY_OFFICE,,,,,fire_life_safety|industrial_services,,5,unknown,,T3,2026-03-01,https://www.axial.net/company/cranbrook-partners,,,DISCOVERY,https://www.axial.net/company/cranbrook-partners,2026-08-17,"Mar 2026: FireCatt (fire-hose testing), Roman Stone, Ritner Steel.",1,Not reviewed,P2-009
Davenforth,P2_FAMILY_OFFICE,Austin,TX,,,landscaping,TX,,yes,,NONE,,,,,DISCOVERY,https://www.axial.net/forum/companies/austin-family-offices/,2026-08-17,"Joint family office formed after 2020 sale of WLE to BrightView. Majority buyouts, $3M+ recurring revenue.",3,Not reviewed,P2-010
Elm Fork Partners,P2_FAMILY_OFFICE,,TX,,,energy_services,TX,2,yes,,NONE,,,,,DISCOVERY,https://www.axial.net/company/elm-fork-partners,2026-08-17,"Texas SFO, permanent capital. Invested in Pumpco Energy Services.",3,Not reviewed,P2-011
Fire Pit Capital,P2_FAMILY_OFFICE,,,,,industrial_services,,2,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/fire-pit-capital,2026-08-17,Southeast; committed patient capital from multiple family offices. AMBIGUOUS FO/IS hybrid.,3,Not reviewed,P2-012
Forest Lane Capital,P2_FAMILY_OFFICE,Pittsburgh,PA,,,industrial_services,,3,unknown,,T3,2025-01-01,https://www.axial.net/company/forest-lane-capital,,,DISCOVERY,https://www.axial.net/company/forest-lane-capital,2026-08-17,"LMM. ARS Recycling Systems (2025), HTG Supply (2021).",3,Not reviewed,P2-013
Hoban Family Office,P2_FAMILY_OFFICE,,,hobanfamilyoffice.com,,other,,,unknown,,NONE,,,,,VERIFIED,https://hobanfamilyoffice.com/direct-investments/,2026-08-17,"SFO with direct-investment mandate: RE, operating businesses, PE/angel.",3,Not reviewed,P2-014
Investar Financial Corporation,P2_FAMILY_OFFICE,Dallas,TX,,$1.0B AUM (self-stated),other,TX,3,yes,,NONE,,,,,DISCOVERY,https://www.axial.net/company/investar-financial-corporation-6800424571796434382,2026-08-17,"Family office, US middle market since 2001.",3,Not reviewed,P2-015
Kompass Kapital,P2_FAMILY_OFFICE,Kansas City,MO,,,residential_hvac|residential_plumbing|residential_electrical,KS,1,unknown,,T3,2026-05-01,https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/,2026-08-17,Single family office; sponsors Founders Home Service Group (Overland Park KS). AAA City Plumbing May 2026.,1,Not reviewed,P2-016
