"account_name","account_type","hq_city","hq_state","website_domain","fund_or_aum","verticals_active","states_active","platform_count","texas_exposure","sponsor_parent","trigger_type","trigger_date","trigger_source_url","contact_name","contact_title","verification","primary_source_url","last_checked","notes","tier","stage","source_key","register_match","held_reason","promoted_on"
"Brightstar Capital Partners","P1_PE","New York","NY","brightstarcap.com","","roofing","TN","1","unknown","","T3","2024-08-07","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","Wayne Holloway","Best Choice Roofing CEO","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Best Choice Roofing (TN; 85+ locations, 24 states).","3","Not reviewed","P1-015","","DISCOVERY — not primary-source verified",""
"Carousel Capital","P1_PE","Charlotte","NC","carouselcapital.com","","roofing","CO|TX|GA|SC","1","yes","","T3","2025-10-01","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Merged covR + United Roofing Oct 2025.","2","Not reviewed","P1-016","","DISCOVERY — not primary-source verified",""
"CCMP Growth","P1_PE","New York","NY","ccmpgrowth.com","","roofing","","1","unknown","","T3","2025","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Backs Omnia Exterior Solutions.","3","Not reviewed","P1-017","","DISCOVERY — not primary-source verified",""
"Concentric Equity Partners","P1_PE","Chicago","IL","concentricequity.com","","fire_life_safety|commercial_electrical","CA","1","unknown","","T3","2025","https://www.privsource.com/acquisitions/electrical-services/2025","","","DISCOVERY","https://www.privsource.com/acquisitions/electrical-services/2025","2026-08-17","Backs RapidFire Safety & Security; Tri-X (CA).","3","Not reviewed","P1-018","","DISCOVERY — not primary-source verified",""
"Eagle Merchant Partners","P1_PE","Atlanta","GA","eaglemerchant.com","","roofing","TX|NM|FL|SC","1","yes","","T3","2024-11-05","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Eskola Roofing & Waterproofing (22 locations).","3","Not reviewed","P1-019","","DISCOVERY — not primary-source verified",""
"Freeman Spogli & Co.","P1_PE","Los Angeles","CA","freemanspogli.com","","roofing","","1","unknown","","T3","2025","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Co-backs Infinity Home Services (26 brands) with LightBay.","3","Not reviewed","P1-020","","DISCOVERY — not primary-source verified",""
"Garnett Station Partners","P1_PE","New York","NY","garnettstation.com","","commercial_mep|commercial_hvac","VT","1","unknown","","T3","2025","","","","DISCOVERY","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","2026-08-17","Backs Grizzly MEP; Vermont Mechanical partnership.","3","Not reviewed","P1-021","","DISCOVERY — not primary-source verified",""
"Gridiron Capital","P1_PE","New Canaan","CT","gridironcapital.com","","residential_hvac|residential_plumbing|residential_electrical|roofing","","2","unknown","","T3","2023-01-18","","Jake Sloane","LSP Co-founder","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","Legacy Service Partners (Tampa, 19 states); Leaf Home/Erie Home.","3","Not reviewed","P1-024","","DISCOVERY — not primary-source verified",""
"Gryphon Investors","P1_PE","San Francisco","CA","gryphoninvestors.com","","fire_life_safety","CA","1","unknown","","NONE","","","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Consolidated Fire Protection (Cosco/Firetrol), Western US.","3","Not reviewed","P1-025","","DISCOVERY — not primary-source verified",""
"Hastings Equity Partners","P1_PE","Boston","MA","hastingsequity.com","","commercial_electrical|energy_services","WA","1","unknown","","T3","2025-04-16","https://www.cbinsights.com/company/mkd-electric","","","DISCOVERY","https://www.cbinsights.com/company/mkd-electric","2026-08-17","Backs MKD Electric; Sea-Tac Electric Apr 2025.","2","Not reviewed","P1-026","","DISCOVERY — not primary-source verified",""
"Heartwood Partners","P1_PE","Norwalk","CT","heartwoodpartners.com","","commercial_electrical|building_automation","FL","1","unknown","","T3","2025-11-05","https://www.privsource.com/acquisitions/electrical-services/2025","","","DISCOVERY","https://www.privsource.com/acquisitions/electrical-services/2025","2026-08-17","Backs Norlee Group; Inter-Bay Electric Nov 2025.","2","Not reviewed","P1-027","","DISCOVERY — not primary-source verified",""
"Hidden Harbor Capital Partners","P1_PE","Fort Lauderdale","FL","hiddenharborcap.com","","residential_hvac|residential_plumbing","TN","1","unknown","","T3","2025","","","","DISCOVERY","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","2026-08-17","Backs Air Conditioning Specialist (ACS), TN.","3","Not reviewed","P1-028","","DISCOVERY — not primary-source verified",""
"Imperial Capital","P1_PE","Toronto","","imperialcap.com","","roofing|residential_hvac","","2","unknown","","T3","2025","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Skyline Roofing Partners; sold Frontier Service Partners to Apex Jan 2024. hq_state blank: non-US.","3","Not reviewed","P1-032","","DISCOVERY — not primary-source verified",""
"Investcorp","P1_PE","New York","NY","investcorp.com","","fire_life_safety","TN","1","unknown","","T3","2025-12-01","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Acquired Guardian Fire Services (Nashville) Dec 2025.","3","Not reviewed","P1-033","","DISCOVERY — not primary-source verified",""
"KKR","P1_PE","New York","NY","kkr.com","","residential_hvac|residential_plumbing|fire_life_safety|landscaping","","3","unknown","","T3","2025","","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Neighborly (Q1 2025); Marmic Fire (from HGGC Jul 2024); co-backs BrightView.","3","Not reviewed","P1-034","","DISCOVERY — not primary-source verified",""
"Knox Lane","P1_PE","San Francisco","CA","knoxlane.com","","fire_life_safety","MD","1","unknown","","T3","2024","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Majority owner Guardian Fire Protection Services (MD) since Jan 2024.","3","Not reviewed","P1-035","","DISCOVERY — not primary-source verified",""
"Leonard Green & Partners","P1_PE","Los Angeles","CA","leonardgreen.com","","residential_hvac|commercial_hvac|fire_life_safety","","3","unknown","","T3","2025-12-01","","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","Wrench Group; co-owns Pye-Barker. Sold Service Logic to Bain Dec 2025.","3","Not reviewed","P1-037","","DISCOVERY — not primary-source verified",""
"LightBay Capital","P1_PE","Los Angeles","CA","lightbaycapital.com","","roofing","","1","unknown","","T3","2025","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Co-backs Infinity Home Services with Freeman Spogli.","3","Not reviewed","P1-038","","DISCOVERY — not primary-source verified",""
"MSD Partners","P1_PE","New York","NY","msdpartners.com","","landscaping","","1","unknown","","NONE","","","","","DISCOVERY","https://ctacquisitions.com/guides/landscaping-ma-multiples-2026/","2026-08-17","Backs Yellowstone Landscape.","3","Not reviewed","P1-040","","DISCOVERY — not primary-source verified",""
"New Water Capital","P1_PE","Boca Raton","FL","newwatercap.com","","landscaping","","1","unknown","","NONE","","","","","DISCOVERY","https://ctacquisitions.com/guides/landscaping-ma-multiples-2026/","2026-08-17","Backs Sperber Landscape Companies.","3","Not reviewed","P1-041","","DISCOVERY — not primary-source verified",""
"OMERS Private Equity","P1_PE","New York","NY","omers.com","","commercial_hvac|commercial_plumbing|building_automation|residential_hvac","AZ|TX","2","yes","","T3","2022-08-05","","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-plumbing-2026/","2026-08-17","Pueblo Mechanical (2022); Modigent; TurnPoint. TX add-ons: Climate Solutions (Austin), Evolution Mechanical (Dallas-area).","3","Not reviewed","P1-042","ORG-073 | OMERS Private Equity","DISCOVERY — not primary-source verified",""
"One Rock Capital Partners","P1_PE","New York","NY","onerockcapital.com","","landscaping|facilities_services","","1","unknown","","T3","2024-08-01","https://ctacquisitions.com/ma-advisor-for-landscaping-business/","","","DISCOVERY","https://ctacquisitions.com/ma-advisor-for-landscaping-business/","2026-08-17","Take-private of BrightView (with KKR) announced Aug 2024.","3","Not reviewed","P1-043","","DISCOVERY — not primary-source verified",""
"Paceline Equity Partners","P1_PE","Dallas","TX","","","commercial_mep|fire_life_safety","TX","1","yes","","T3","2025-04-10","https://www.abfjournal.com/","","","DISCOVERY","https://www.abfjournal.com/","2026-08-17","Kassel Mechanical Holdings: $40M preferred equity + Arrow Electric add-on. Domain not verified.","2","Not reviewed","P1-045","","DISCOVERY — not primary-source verified",""
"Percheron Capital","P1_PE","San Francisco","CA","percheron.com","","fire_life_safety|residential_hvac|residential_plumbing","TX","2","yes","","T2","2025-11-01","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Launched ASPYRE Fire Nov 2025; TurnPoint HVAC (2023); McWilliams & Son (Lufkin, TX) platform 2022.","3","Not reviewed","P1-046","","DISCOVERY — not primary-source verified",""
"Permira","P1_PE","Menlo Park","CA","permira.com","","fire_life_safety","RI","1","unknown","","T3","2025-03-01","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Acquired Encore Fire Protection Mar 2025. CONFLICT: Berkshire Partners named as Encore owner by another source. Both carried.","3","Not reviewed","P1-047","","DISCOVERY — not primary-source verified",""
"Ridgemont Equity Partners","P1_PE","Charlotte","NC","ridgemontep.com","","commercial_hvac|commercial_mep|facilities_services","","1","unknown","","T3","2022-06-01","","","","DISCOVERY","https://www.threesixtyseven.com/wp-content/uploads/2025/09/US-Commercial-HVAC-Plumbing-Industry-Report-V2.pdf","2026-08-17","Backs Crete United since June 2022. Sale process reported late 2025 (T1 signal).","3","Not reviewed","P1-049","","DISCOVERY — not primary-source verified",""
"Shore Capital Partners","P1_PE","Chicago","IL","shorecp.com","","residential_hvac|residential_plumbing|commercial_mep","FL","1","unknown","","T3","2025","","","","DISCOVERY","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","2026-08-17","Growth partnership with Comfort Temp (Gainesville, FL).","3","Not reviewed","P1-051","","DISCOVERY — not primary-source verified",""
"Stellex Capital Management","P1_PE","New York","NY","stellex.com","","residential_plumbing|commercial_plumbing|commercial_electrical","TX|WA|FL|NC|SC","2","yes","","T3","2022","","","","DISCOVERY","https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/","2026-08-17","P3 Services (Peltram) Jan 2022; ICS Holding.","3","Not reviewed","P1-053","","DISCOVERY — not primary-source verified",""
"Sun Capital Partners","P1_PE","Boca Raton","FL","suncappart.com","","residential_hvac|roofing","","2","unknown","","T3","2025","","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Latite Roofing Jan 2025. CONFLICT: named as Redwood sponsor by one source, Altas by another. Both carried.","3","Not reviewed","P1-054","","DISCOVERY — not primary-source verified",""
"The Carlyle Group","P1_PE","Washington","DC","carlyle.com","","fire_life_safety","","1","unknown","","NONE","","","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Majority owner Sciens Building Solutions since Dec 2021.","3","Not reviewed","P1-055","","DISCOVERY — not primary-source verified",""
"The Riverside Company","P1_PE","New York","NY","riversidecompany.com","","residential_hvac|residential_plumbing|residential_electrical","TX|CO|WA|ID|NM","1","yes","","T3","2025","","","","DISCOVERY","https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/","2026-08-17","T3 Services Group.","3","Not reviewed","P1-056","","DISCOVERY — not primary-source verified",""
"Trivest Partners","P1_PE","Miami","FL","trivest.com","~$6B AUM (Trivest, 2026)","landscaping","","1","unknown","","NONE","","","","","DISCOVERY","https://bluwave.net/pe-awards","2026-08-17","Founder-focused; Aspen Grove Landscape Group.","3","Not reviewed","P1-059","","DISCOVERY — not primary-source verified",""
"White Wolf Capital","P1_PE","Miami","FL","whitewolfcapital.com","","residential_plumbing|commercial_hvac|residential_hvac","FL","1","unknown","","T3","2025","","","","DISCOVERY","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","2026-08-17","Backs Seacoast Service Partners (FL).","3","Not reviewed","P1-061","","DISCOVERY — not primary-source verified",""
"Wind Point Partners","P1_PE","Chicago","IL","windpointpartners.com","","fire_life_safety|building_automation","","1","unknown","","NONE","","","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-platforms-by-sector-2026/","2026-08-17","Backs Pavion (fire/security/AV).","3","Not reviewed","P1-062","","DISCOVERY — not primary-source verified",""
"Aeonic Partners","P2_FAMILY_OFFICE","","","","","industrial_services","","11","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/aeonic-partners","2026-08-17","Buy-and-hold family office. Pro-Vigil (security), Health & Safety Institute.","3","Not reviewed","P2-001","","DISCOVERY — not primary-source verified",""
"Anchor Investments","P2_FAMILY_OFFICE","","","","","industrial_services","","","unknown","","NONE","","","","","DISCOVERY","https://ctacquisitions.com/guides/family-offices-acquiring-businesses-2026/","2026-08-17","Family office specializing in manufacturing/metal fabrication.","3","Not reviewed","P2-002","","DISCOVERY — not primary-source verified",""
"Applied Value Group","P2_FAMILY_OFFICE","","","","","industrial_services|energy_services","","8","unknown","","T3","2025","https://www.axial.net/company/applied-value-group","","","DISCOVERY","https://www.axial.net/company/applied-value-group","2026-08-17","~25 private investments. ES Solar, Structural Steel of Carolina.","3","Not reviewed","P2-003","","DISCOVERY — not primary-source verified",""
"BlueAlpha Capital","P2_FAMILY_OFFICE","Southlake","TX","","","other","TX","7","yes","","NONE","","","","","DISCOVERY","https://www.axial.net/company/bluealpha-capital-single-family-office","2026-08-17","SFO (Sanjay Chandra Family, est. 2006); buyout/growth/RE/credit.","3","Not reviewed","P2-004","","DISCOVERY — not primary-source verified",""
"Brandsma Asset Management","P2_FAMILY_OFFICE","","","","","other","","1","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/brandsma-asset-management","2026-08-17","SFO est. 2018 after family-business sale; 15+ investments.","3","Not reviewed","P2-005","","DISCOVERY — not primary-source verified",""
"Carlin Capital Partners","P2_FAMILY_OFFICE","","","","","industrial_services","","3","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/carlin-capital-partners","2026-08-17","Father-son family PE (est. 2009). Support of Excavation, Rex Forge.","3","Not reviewed","P2-006","","DISCOVERY — not primary-source verified",""
"Carroll Capital","P2_FAMILY_OFFICE","Houston","TX","","","commercial_plumbing","TX","1","yes","","T3","2025","https://www.privsource.com/","Brian F. Carroll","Principal","DISCOVERY","https://www.privsource.com/","2026-08-17","Charlie's Plumbing (Houston) platform buyout 2025, BMO debt cited.","3","Not reviewed","P2-007","","DISCOVERY — not primary-source verified",""
"Cottonwood Acquisitions","P2_FAMILY_OFFICE","Ronkonkoma","NY","cottonwoodacquisitions.com","","industrial_services","","12","unknown","","NONE","","","","","DISCOVERY","https://cottonwoodacquisitions.com/","2026-08-17","Evergreen family office; 12 platforms, $1-10M cash-flow niche businesses, retiring-seller focus.","3","Not reviewed","P2-008","","DISCOVERY — not primary-source verified",""
"Cranbrook Partners","P2_FAMILY_OFFICE","","","","","fire_life_safety|industrial_services","","5","unknown","","T3","2026-03-01","https://www.axial.net/company/cranbrook-partners","","","DISCOVERY","https://www.axial.net/company/cranbrook-partners","2026-08-17","Mar 2026: FireCatt (fire-hose testing), Roman Stone, Ritner Steel.","1","Not reviewed","P2-009","","DISCOVERY — not primary-source verified",""
"Davenforth","P2_FAMILY_OFFICE","Austin","TX","","","landscaping","TX","","yes","","NONE","","","","","DISCOVERY","https://www.axial.net/forum/companies/austin-family-offices/","2026-08-17","Joint family office formed after 2020 sale of WLE to BrightView. Majority buyouts, $3M+ recurring revenue.","3","Not reviewed","P2-010","","DISCOVERY — not primary-source verified",""
"Elm Fork Partners","P2_FAMILY_OFFICE","","TX","","","energy_services","TX","2","yes","","NONE","","","","","DISCOVERY","https://www.axial.net/company/elm-fork-partners","2026-08-17","Texas SFO, permanent capital. Invested in Pumpco Energy Services.","3","Not reviewed","P2-011","","DISCOVERY — not primary-source verified",""
"Fire Pit Capital","P2_FAMILY_OFFICE","","","","","industrial_services","","2","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/fire-pit-capital","2026-08-17","Southeast; committed patient capital from multiple family offices. AMBIGUOUS FO/IS hybrid.","3","Not reviewed","P2-012","","DISCOVERY — not primary-source verified",""
"Forest Lane Capital","P2_FAMILY_OFFICE","Pittsburgh","PA","","","industrial_services","","3","unknown","","T3","2025","https://www.axial.net/company/forest-lane-capital","","","DISCOVERY","https://www.axial.net/company/forest-lane-capital","2026-08-17","LMM. ARS Recycling Systems (2025), HTG Supply (2021).","3","Not reviewed","P2-013","","DISCOVERY — not primary-source verified",""
"Investar Financial Corporation","P2_FAMILY_OFFICE","Dallas","TX","","$1.0B AUM (self-stated)","other","TX","3","yes","","NONE","","","","","DISCOVERY","https://www.axial.net/company/investar-financial-corporation-6800424571796434382","2026-08-17","Family office, US middle market since 2001.","3","Not reviewed","P2-015","","DISCOVERY — not primary-source verified",""
"Kompass Kapital","P2_FAMILY_OFFICE","Kansas City","MO","","","residential_hvac|residential_plumbing|residential_electrical","KS","1","unknown","","T3","2026-05-01","https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/","2026-08-17","Single family office; sponsors Founders Home Service Group (Overland Park KS). AAA City Plumbing May 2026.","1","Not reviewed","P2-016","","DISCOVERY — not primary-source verified",""
"Lang Partners","P2_FAMILY_OFFICE","Dallas","TX","","","other","TX","10","yes","","NONE","","","","","DISCOVERY","https://www.axial.net/company/lang-partners","2026-08-17","RE development firm and family office. Service Star Brands (home-services franchising).","3","Not reviewed","P2-017","","DISCOVERY — not primary-source verified",""
"MasGroup","P2_FAMILY_OFFICE","","","","","roofing","CO","1","unknown","","T3","2026-04-02","https://www.citybiz.co/article/827996/superior-roofing-completes-ownership-transition/","Juan Carlos Mas","Principal","DISCOVERY","https://www.citybiz.co/article/827996/superior-roofing-completes-ownership-transition/","2026-08-17","Strategic single-family office. Investor in Superior Roofing (Aurora, CO). HQ/domain not verified.","1","Not reviewed","P2-018","","DISCOVERY — not primary-source verified",""
"Mason Wells","P2_FAMILY_OFFICE","Milwaukee","WI","masonwells.com","","utility_services","","20","unknown","","NONE","","","","","DISCOVERY","https://www.masonwells.com/","2026-08-17","Midwest family-and-institutional capital; waste and water management. Family-capital-adjacent, not a pure SFO.","3","Not reviewed","P2-019","","DISCOVERY — not primary-source verified",""
"Matbridge Investments Ltd.","P2_FAMILY_OFFICE","","","","","energy_services|utility_services","","10","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/matbridge-investments-ltd","2026-08-17","Diversified family investment firm. Subterra Renewables (geothermal/energy services).","3","Not reviewed","P2-020","","DISCOVERY — not primary-source verified",""
"Nobel Investments","P2_FAMILY_OFFICE","Santa Monica","CA","","","other","","2","unknown","","NONE","","","Atta Tarki","Founder","DISCOVERY","https://www.axial.net/company/nobel-investments","2026-08-17","Family investment office; owner/operators of acquired businesses.","3","Not reviewed","P2-021","","DISCOVERY — not primary-source verified",""
"NorthCurrent Partners","P2_FAMILY_OFFICE","","","","","residential_hvac|residential_plumbing|residential_electrical","TX|FL","1","yes","","T3","2025-12-01","https://www.axial.net/company/northcurrent-partners","","","DISCOVERY","https://www.axial.net/company/northcurrent-partners","2026-08-17","CONFLICT ON TYPE: self-describes as extension of a family office but operates as sponsor; tagged P3 in an earlier run. Backs Liberty Service Partners (Dallas). 25 closed deals.","1","Not reviewed","P2-022","","DISCOVERY — not primary-source verified",""
"Northwoods Partners","P2_FAMILY_OFFICE","","","","","facilities_services","","4","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/northwoods-partners","2026-08-17","Built from ImageFIRST (Berstein family) team; services roll-up expertise.","3","Not reviewed","P2-023","","DISCOVERY — not primary-source verified",""
"Pearl Street Capital Partners","P2_FAMILY_OFFICE","","","","","industrial_services|roofing|residential_hvac","FL|MI|OH|IL|MN","4","unknown","","T3","2026","https://www.axial.net/company/pearl-street-capital-partners","","","DISCOVERY","https://www.axial.net/company/pearl-street-capital-partners","2026-08-17","Committed capital from two family offices; $1-7M EBITDA. Backs Aligned Exteriors Group and Panther Service Group. AMBIGUOUS FO/IS hybrid.","1","Not reviewed","P2-024","","DISCOVERY — not primary-source verified",""
"Pohlad Companies","P2_FAMILY_OFFICE","Minneapolis","MN","pohladcompanies.com","","other","","","unknown","","NONE","","","","","DISCOVERY","https://pim.pohladcompanies.com/","2026-08-17","Confirmed direct-investing family office; NO in-scope vertical deal verified. Thesis-fit lead only.","3","Not reviewed","P2-025","","DISCOVERY — not primary-source verified",""
"Preservation Holdings LLC","P2_FAMILY_OFFICE","Dallas","TX","","","residential_hvac|residential_plumbing","TX|OK","2","yes","","T3","2022-07-01","https://www.axial.net/company/preservation-holdings-llc","","","DISCOVERY","https://www.axial.net/company/preservation-holdings-llc","2026-08-17","Group of DFW family offices; permanent capital, no mandate to return capital. Air Assurance, HomeTown Services (2022).","3","Not reviewed","P2-026","","DISCOVERY — not primary-source verified",""
"Progeny 3","P2_FAMILY_OFFICE","Kirkland","WA","","","energy_services","","1","unknown","","T3","2026-04-15","https://www.morningstar.com/news/business-wire/20260414818602/","Danny Knight","Portfolio Manager","DISCOVERY","https://www.morningstar.com/news/business-wire/20260414818602/","2026-08-17","SFO. Equity in Cadre Energy Solutions (contract gas compression) Apr 2026. Domain not verified.","1","Not reviewed","P2-028","","DISCOVERY — not primary-source verified",""
"Pulte Capital Partners LLC","P2_FAMILY_OFFICE","","","","","residential_hvac","","2","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/pulte-capital-partners-llc","2026-08-17","Building-products family capital; Advanced Air Conditioning & Heating (2013).","3","Not reviewed","P2-029","","DISCOVERY — not primary-source verified",""
"Rhino Ventures LLC","P2_FAMILY_OFFICE","Dallas","TX","","","industrial_services|utility_services","TX","1","yes","","NONE","","","Ken Manning","Principal","DISCOVERY","https://www.axial.net/company/rhino-ventures-llc","2026-08-17","SFO formed 2016 via ~$230M sale of Curaspan Health. Thesis: always-needed infrastructure/specialty trades, mostly Texas.","3","Not reviewed","P2-030","","DISCOVERY — not primary-source verified",""
"Rising Ventures Group LLC","P2_FAMILY_OFFICE","","","","","other","","5","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/rising-ventures-group-llc","2026-08-17","Family-run investor across CPG, retail, healthcare, manufacturing, distribution.","3","Not reviewed","P2-031","","DISCOVERY — not primary-source verified",""
"Rosewood Private Investments","P2_FAMILY_OFFICE","Dallas","TX","","","industrial_services","TX","20","yes","","NONE","","","Derry Burns","Director","DISCOVERY","https://www.axial.net/company/rosewood-private-investments","2026-08-17","PE arm of The Rosewood Corporation (Caroline Hunt Trust Estate), evergreen.","3","Not reviewed","P2-032","ORG-012 | Rosewood Private Investments","DISCOVERY — not primary-source verified",""
