"rank","score","tier","firm","account_type","buyer_moment_DERIVED","lead_with","contact_name","contact_title","linkedin_action","linkedin_query","texas","verticals_active","website","source_url","org_id","score_detail","notes","flag"
"12","58","B","Gittemeier Ventures","Single family office","thesis_no_flow","origination","Luke Gittemeier, CFA","Founder / Principal (INFERRED — VERIFY)","Connect with Luke Gittemeier, CFA, Founder / Principal (INFERRED — VERIFY)","Lead search: ""Luke Gittemeier, CFA"" · Current company = ""Gittemeier Ventures""","unknown","","","https://www.axial.net/","ORG-029","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"13","58","B","Pritzker Private Capital","P2_FAMILY_OFFICE","unknown","conviction","Eric Kieras","Investment Partner","Connect with Eric Kieras, Investment Partner","Lead search: ""Eric Kieras"" · Current company = ""Pritzker Private Capital""","unknown","landscaping|facilities_services|industrial_services","ppcpartners.com","https://www.ppcpartners.com/","ORG-099","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 10 (family_office) · activity 12 (11mo since last evidenced deal)","[2026-08-18 client-register-v1 / P2-027] 31 platforms, 110+ add-ons, >$10B deployed. HeartLand (commercial landscaping).",""
"14","58","B","Prodos Capital","Independent sponsor","thesis_no_flow","origination","Douglas Song","Co-Founder / Managing Director","Connect with Douglas Song, Co-Founder / Managing Director","Lead search: ""Douglas Song"" · Current company = ""Prodos Capital""","unknown","","","https://www.iglobalforum.com/","ORG-074","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"15","58","B","Serata Capital Partners / Calidant Capital","Independent sponsor","thesis_no_flow","origination","Drew N. Bagot","Founder / Managing Partner","Connect with Drew N. Bagot, Founder / Managing Partner","Lead search: ""Drew N. Bagot"" · Current company = ""Serata Capital Partners / Calidant Capital""","unknown","","","https://www.iglobalforum.com/","ORG-013","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"16","58","B","SixFive Partners","Operator-led independent sponsor","thesis_no_flow","origination","Michael Speaker","Co-Founder","Connect with Michael Speaker, Co-Founder","Lead search: ""Michael Speaker"" · Current company = ""SixFive Partners""","unknown","","","https://www.axial.net/","ORG-048","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"17","58","B","SR Capital Advisors","Independent sponsor","thesis_no_flow","origination","Steve Reinstadtler","Principal","Connect with Steve Reinstadtler, Principal","Lead search: ""Steve Reinstadtler"" · Current company = ""SR Capital Advisors""","unknown","","","https://www.iglobalforum.com/","ORG-046","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"18","58","B","Texas HVAC services platform (name undisclosed)","Operator-led independent sponsor","thesis_no_flow","origination","Cody Sechelski","Founder","Connect with Cody Sechelski, Founder","Lead search: ""Cody Sechelski"" · Current company = ""Texas HVAC services platform (name undisclosed)""","unknown","","","https://finance.yahoo.com/small-business/articles/raises-com-r-advises-successful-223000367.html","ORG-015","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Distinct from unrelated same-name individuals. Structure was equity-light with institutional senior credit.","NAME REDACTED — no company to search; go via the person"
"19","56","B","Align Capital Partners","P1_PE","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Align Capital Partners"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","yes","facilities_services|industrial_services","aligncp.com","https://aligncp.com/","ORG-083","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 5 (no named contact) · structure 3 (pe_fund) · activity 15 (2mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-003] Dallas office. 40 platforms / 145 add-ons since 2016. Open BD VP role = T5 signal alongside T2.",""
"20","56","B","Bernhard Capital Partners","P1_PE","unknown","conviction","Mark Spender","Partner","Connect with Mark Spender, Partner","Lead search: ""Mark Spender"" · Current company = ""Bernhard Capital Partners""","yes","energy_services|utility_services","bernhardcapital.com","https://www.bernhardcapital.com/bcp-backed-united-utility-services-completes-acquisition-of-bhi-power-delivery/","ORG-085","need 8 (unknown) · lane 15 (dfw yes, trade miss) · reach 15 · structure 3 (pe_fund) · activity 15 (0mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-013] TechServ (Tyler, TX) platform Jun 2025, 850+ employees, 21 states. Formed United Utility (sold to Sandbrook); Optimum Energy Co.",""
"21","56","B","Greenbelt Capital Partners","P1_PE","unknown","conviction","Chris Murphy","Partner","Connect with Chris Murphy, Partner","Lead search: ""Chris Murphy"" · Current company = ""Greenbelt Capital Partners""","yes","utility_services|energy_services","greenbeltcap.com","https://www.orix.com/deals/greenbelt-capital-partners-agrees-to-acquire-peak-utility-services-group-from-orix-capital-partners/","ORG-087","need 8 (unknown) · lane 15 (dfw yes, trade miss) · reach 15 · structure 3 (pe_fund) · activity 15 (5mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-023] Definitive agreement to acquire Peak Utility Services from ORIX.",""
"22","56","B","The SEER Group","P4_PLATFORM","unknown","conviction","Justin Nagy","CEO","Connect with Justin Nagy, CEO","Lead search: ""Justin Nagy"" · Current company = ""The SEER Group""","yes","residential_hvac|residential_plumbing|residential_electrical","","https://www.businesswire.com/","ORG-122","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 10 · structure 5 (platform) · activity 8 (15mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-063] Swan Electric Plumbing Heating & Air (Sunnyvale TX / greater DFW) Apr 2025 - 42nd brand, Texas entry. Sponsor undisclosed. HQ and domain not verified.","no domain on file"
"23","55","B","Comfort Systems USA","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Comfort Systems USA"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","yes","commercial_hvac|commercial_mep|commercial_electrical","comfortsystemsusa.com","https://ctacquisitions.com/guides/private-equity-hvac-2026/","ORG-108","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 5 (no named contact) · structure 5 (platform) · activity 12 (10mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-013] PUBLIC STRATEGIC, not sponsor-backed. Continuous roll-up. J&S Mechanical (UT); Feyen Zylstra + Meisner Electric (Oct 2025). Large in-house corp dev.",""
"24","55","B","Southern Home Services","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Southern Home Services"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","yes","residential_plumbing|residential_hvac","southernhomeservices.com","https://southernhomeservices.com/","ORG-118","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 5 (no named contact) · structure 5 (platform) · activity 12 (9mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-055] Nick's Plumbing & Air Conditioning (Houston) Oct 2025, 4th TX location. Sponsor undisclosed. HQ not verified.",""
"25","54","C","Astara Capital Partners","P3_INDEPENDENT_SPONSOR","unknown","conviction","Michael Ranson","Managing Partner","Connect with Michael Ranson, Managing Partner","Lead search: ""Michael Ranson"" · Current company = ""Astara Capital Partners""","unknown","residential_hvac|residential_plumbing|residential_electrical","astaracapital.com","https://www.prnewswire.com/news-releases/astara-capital-partners-completes-investment-in-del-air-heating-and-air-conditioning-301670657.html","ORG-102","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 10 (independent_sponsor) · activity 8 (19mo since last evidenced deal)","[2026-08-18 client-register-v1 / P3-004] AMBIGUOUS: Del-Air made from committed Fund I - arguably P1_PE not fundless. Flagged.",""
"26","54","C","Broadtree Partners","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Brad Batten","Managing Partner","Connect with Brad Batten, Managing Partner","Lead search: ""Brad Batten"" · Current company = ""Broadtree Partners""","unknown","facilities_services","broadtreepartners.com","https://broadtreepartners.com/about/","ORG-126","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 10 (independent_sponsor) · activity 8 (19mo since last evidenced deal)","[2026-08-18 client-register-v1 / P5-002] Operator-centric LMM $1-10M EBITDA; business/government/healthcare/tech services. Second office Charleston SC.",""
"27","54","C","Confluence Point Holdings","P3_INDEPENDENT_SPONSOR","unknown","conviction","Doug Behrman","Co-founder","Connect with Doug Behrman, Co-founder","Lead search: ""Doug Behrman"" · Current company = ""Confluence Point Holdings""","unknown","roofing","confluencepoint.com","https://www.prnewswire.com/news-releases/confluence-point-acquires-perrys-roofing-launches-eastern-exterior-partners-302470946.html","ORG-103","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 10 (independent_sponsor) · activity 8 (14mo since last evidenced deal)","[2026-08-18 client-register-v1 / P3-012] Perry's Roofing acquisition launched Eastern Exterior Partners Jun 2025. Targets $1-7M EBITDA.",""
"28","54","C","IMB Partners","P1_PE","unknown","conviction","Tarrus Richardson","Founder & CEO","Connect with Tarrus Richardson, Founder & CEO","Lead search: ""Tarrus Richardson"" · Current company = ""IMB Partners""","unknown","utility_services|commercial_electrical","imbpartners.com","https://www.businesswire.com/news/home/20220315005268/en/","ORG-090","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 3 (pe_fund) · activity 15 (1mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-031] Utility/govt services. Carr & Duff (2022); Strategic Land Services (2026); Farwest Corrosion.",""
"29","54","C","IX Capital Partners","P3_INDEPENDENT_SPONSOR","unknown","conviction","Julian Buegers","Partner","Connect with Julian Buegers, Partner","Lead search: ""Julian Buegers"" · Current company = ""IX Capital Partners""","unknown","commercial_electrical|utility_services","ix-partners.com","https://www.businesswire.com/news/home/20250515946305/en/","ORG-105","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 10 (independent_sponsor) · activity 8 (15mo since last evidenced deal)","[2026-08-18 client-register-v1 / P3-022] PitchBook-labeled fundless sponsor. Teague Electric (KC) May 2025 with Align Collaborate equity.",""
"30","54","C","Watchtower Capital Partners","P3_INDEPENDENT_SPONSOR","unknown","conviction","Mike Minchella","Managing Partner","Connect with Mike Minchella, Managing Partner","Lead search: ""Mike Minchella"" · Current company = ""Watchtower Capital Partners""","unknown","residential_hvac|residential_plumbing","watchtowercp.com","https://www.prnewswire.com/news-releases/watchtower-capital-partners-completes-first-platform-investment-in-ally-services-301861252.html","ORG-106","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 10 (independent_sponsor) · activity 8 (19mo since last evidenced deal)","[2026-08-18 client-register-v1 / P3-040] Backs Ally Services (Mid-Atlantic). 2025 add-ons: J Hood, Tri-County Aire, Above & Beyond. Founding platform Jun 2023 with Aldine Capital.",""
"31","53","C","Averon Group","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Averon Group"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","yes","energy_services|commercial_hvac","","https://www.businesswire.com/news/home/20260204186977/en/","ORG-107","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 0 (no named contact) · structure 5 (platform) · activity 15 (6mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-008] National HVAC distribution. Blackhawk Supply (Jun 2025) + Fenco Supply (Feb 2026). Domain not verified.","no domain on file"
"32","53","C","ETA Equity","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Mark Sinatra","Co-Founder","Connect with Mark Sinatra, Co-Founder","Lead search: ""Mark Sinatra"" · Current company = ""ETA Equity""","yes","other","etaequity.com","https://etaequity.com/","ORG-128","need 8 (unknown) · lane 15 (dfw yes, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-005] Industry-agnostic search-fund/dual-strategy investor. Dallas-based.",""
"33","53","C","Miramar Equity Partners","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Kurt Leedy","Co-Founder","Connect with Kurt Leedy, Co-Founder","Lead search: ""Kurt Leedy"" · Current company = ""Miramar Equity Partners""","yes","other","miramarequity.com","https://miramarequity.com/","ORG-131","need 8 (unknown) · lane 15 (dfw yes, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-008] Family-office capital funding searchers (Miramar Search Partners); checks up to $25M for stretch deals.",""
"34","53","C","Next Coast ETA","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Dustin Sellers","Partner / Co-Head","Connect with Dustin Sellers, Partner / Co-Head","Lead search: ""Dustin Sellers"" · Current company = ""Next Coast ETA""","yes","other","nceta.com","http://nceta.com/","ORG-133","need 8 (unknown) · lane 15 (dfw yes, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-010] Search division of Next Coast Ventures; lower/middle market.",""
"35","53","C","Peak Utility Services Group","P4_PLATFORM","unknown","conviction","Michael Lennon","CEO","Connect with Michael Lennon, CEO","Lead search: ""Michael Lennon"" · Current company = ""Peak Utility Services Group""","yes","utility_services|energy_services","","https://www.orix.com/deals/greenbelt-capital-partners-agrees-to-acquire-peak-utility-services-group-from-orix-capital-partners/","ORG-115","need 8 (unknown) · lane 15 (dfw yes, trade miss) · reach 10 · structure 5 (platform) · activity 15 (5mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-042] ~2,800 employees, 15 states. 5 Star Electric (DFW), Superior Pipeline (Fort Worth). Ownership transferring ORIX to Greenbelt. Domain not verified.","no domain on file"
"36","52","C","InnoVen Services","Operator-acquirer","thesis_no_flow","origination","Godson Udeh","Co-Founder & Chief Executive Officer","Connect with Godson Udeh, Co-Founder & Chief Executive Officer","Lead search: ""Godson Udeh"" · Current company = ""InnoVen Services""","unknown","","","https://www.businesswire.com/news/home/20241112148058/en/","ORG-009","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 4 (unknown) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Highest-fit direct client on the board: DFW + exact vertical + funded + no internal corp dev.","no domain on file"
"37","52","C","User Friendly Home Services","Operator-acquirer","thesis_no_flow","origination","Bruce Howard","Founder & Chief Executive Officer","Connect with Bruce Howard, Founder & Chief Executive Officer","Lead search: ""Bruce Howard"" · Current company = ""User Friendly Home Services""","unknown","","","https://www.craftflow.com/dossier/what-companies-has-user-friendly-home-services-acquired","ORG-016","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 4 (unknown) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Clearest single-sentence value proposition of any target on the board.","no domain on file"
"38","51","C","MFG Partners","P1_PE","unknown","conviction","Jeff Mizrahi","Partner","Connect with Jeff Mizrahi, Partner","Lead search: ""Jeff Mizrahi"" · Current company = ""MFG Partners""","unknown","commercial_electrical|utility_services","mfgpartners.com","https://www.businesswire.com/news/home/20251118389583/en/","ORG-092","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 3 (pe_fund) · activity 12 (8mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-039] Regency Electric (Denver); CST Utilities (OH). Fund vs fundless status not disclosed.",""
"39","51","C","Nashton Partners (The Nashton Company)","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Jason Pananos","Co-Founder","Connect with Jason Pananos, Co-Founder","Lead search: ""Jason Pananos"" · Current company = ""Nashton Partners (The Nashton Company)""","unknown","facilities_services","nashton.com","https://www.nashton.com/","ORG-132","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-009] Holding company; recurring-revenue services in niche markets (pest/vector control, lake management). HQ city not verified.",""
"40","50","C","Acharya Capital Partners","Independent sponsor","thesis_no_flow","origination","David Acharya","Managing Partner","Connect with David Acharya, Managing Partner","Lead search: ""David Acharya"" · Current company = ""Acharya Capital Partners""","unknown","","","","ORG-055","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.80 directory only — verify before acting","","no domain on file"
"41","50","C","Centerfield Capital / Centerfield","Independent sponsor","thesis_no_flow","origination","Faraz Abbasi","Principal","Connect with Faraz Abbasi, Principal","Lead search: ""Faraz Abbasi"" · Current company = ""Centerfield Capital / Centerfield""","unknown","","","","ORG-065","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.80 directory only — verify before acting","","no domain on file"
"42","49","C","Braes Bayou Company","Independent sponsor","thesis_no_flow","origination","","","Find the corp-dev / BD owner","Lead search: Current company = ""Braes Bayou Company"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","","","https://www.axial.net/","ORG-059","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 0 (no named contact) · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"43","49","C","Exigent Group","P4_PLATFORM","unknown","conviction","Peter van Niekerk","CEO","Connect with Peter van Niekerk, CEO","Lead search: ""Peter van Niekerk"" · Current company = ""Exigent Group""","unknown","commercial_hvac|commercial_mep|building_automation|commercial_plumbing","exigentgroup.com","https://www.businesswire.com/news/home/20240723945976/en/","ORG-110","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 5 (platform) · activity 8 (24mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-019] Mission-critical mechanical. 7+ acquisitions; Smith-Boughan + EASI Jul 2024.",""
"44","49","C","Helium Capital","Independent sponsor","thesis_no_flow","origination","","","Find the corp-dev / BD owner","Lead search: Current company = ""Helium Capital"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","","","https://www.axial.net/","ORG-032","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 0 (no named contact) · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Strong fit; worth the naming effort.","no domain on file"
"45","49","C","ORIX Capital Partners","P1_PE","unknown","conviction","Matt Scullion","Managing Director","Connect with Matt Scullion, Managing Director","Lead search: ""Matt Scullion"" · Current company = ""ORIX Capital Partners""","yes","utility_services|energy_services","orix.com","https://www.orix.com/deals/greenbelt-capital-partners-agrees-to-acquire-peak-utility-services-group-from-orix-capital-partners/","ORG-093","need 8 (unknown) · lane 15 (dfw yes, trade miss) · reach 15 · structure 3 (pe_fund) · activity 8 (16mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-044] Peak Utility incl. 5 Star Electric (DFW, ~$108.7M per SEC 8-K) and Superior Pipeline (Fort Worth). Selling Peak to Greenbelt.",""
"46","49","C","Voyager Interests","P1_PE","unknown","conviction","Robert Trainer","Partner","Connect with Robert Trainer, Partner","Lead search: ""Robert Trainer"" · Current company = ""Voyager Interests""","yes","energy_services","voyagerinterests.com","https://voyagerinterests.com/","ORG-097","need 8 (unknown) · lane 15 (dfw yes, trade miss) · reach 15 · structure 3 (pe_fund) · activity 8 (17mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-060] Tejas Completion Services (Midland, TX), specialty pumping. Majority investment Mar 2025.",""
"47","47","C","Huron Capital","P1_PE","unknown","conviction","Cale Kaczmarek","Principal","Connect with Cale Kaczmarek, Principal","Lead search: ""Cale Kaczmarek"" · Current company = ""Huron Capital""","unknown","commercial_hvac|commercial_mep|building_automation|commercial_electrical|roofing","huroncapital.com","https://www.huroncapital.com/news/huron-capital-launches-rampart-exterior-servicestm-to-provide-commercial-roofing-and-exterior-services/","ORG-089","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 15 · structure 3 (pe_fund) · activity 8 (24mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-030] ExecFactor buy-and-build. Exigent, Rampart Exterior, RK Electric/Criticore.",""
