"org_id","firm","firm_type","segment","bucket","tier","city","state","website","aum_or_fund_size","check_size","ebitda_range","vertical_fit","internal_corpdev","buyside_signal","signal_date","contact_count","contact_ids","confidence","source_url","notes"
"ORG-054","AEC Equities, Inc.","Independent sponsor","IND_SPONSOR","CLIENT","C","","TX","","","","","MEDIUM-HIGH — infrastructure / engineering / construction platforms","Unknown","Infrastructure and construction platform focus","2025","1","IS-012","Medium on firm / None on individual","https://www.axial.net/",""
"ORG-055","Acharya Capital Partners","Independent sponsor","IND_SPONSOR","CLIENT","C","New York","NY","","","","","LOW-MEDIUM — generalist","NO","Active in the independent sponsor community","2026","1","IS-005","Medium","",""
"ORG-056","Apex Service Partners (Alpine/Partners Group/Apollo)","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","HVAC/plumbing/electrical","YES — dedicated origination/BD","Active institutional acquirer","2026","2","ECO-005; ECO-006","High","","75 local brands, 46 states, 13,000+ employees, $3B+ revenue. Fully resourced. Register intelligence and exit-buyer intelligence only."
"ORG-057","BASE Equity Partners","Independent sponsor","IND_SPONSOR","CLIENT","C","New York","NY","","","","","LOW — generalist","NO","iGlobal ISS speaker; operator background","2026","1","IS-009","Medium","https://www.iglobalforum.com/",""
"ORG-058","Bernstein Private Wealth Management, Dallas","Wealth management","REFERRAL_WEALTH","REFERRAL","C","Dallas","TX","","","","","N/A","","Advises business owners","2026","1","REF-021","Medium","","CAUTION: wealth-manager relationships can drift toward sell-side referrals. Decline those."
"ORG-059","Braes Bayou Company","Independent sponsor","IND_SPONSOR","CLIENT","C","","TX","","","","","MEDIUM — founder-led B2B service businesses","NO","Raises deal-by-deal","2025","1","IS-011","Medium on firm / None on individual","https://www.axial.net/",""
"ORG-060","Byline Bank","SBA 7(a) lender + sponsor senior cash-flow finance","CAPITAL_SBA","REFERRAL","C","Chicago","IL","","","","","Also does independent-sponsor senior cash-flow financing","N/A","Top-tier 7(a) plus sponsor lending","2026","1","SBA-004","Medium on firm / None on individual","",""
"ORG-061","CBIZ","Accounting","REFERRAL_ACCOUNTING","REFERRAL","C","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-014","High","https://www.acg.org/dfw",""
"ORG-062","CIBC Bank USA","Lender","REFERRAL_BANKING","REFERRAL","C","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-012","High","https://www.acg.org/dfw",""
"ORG-063","Cascadily LLC","Independent sponsor","IND_SPONSOR","CLIENT","C","","","","","","$5M+ revenue / $1M+ EBITDA","LOW — education sector","NO","iGlobal ISS speaker","2026","1","IS-007","Medium","https://www.iglobalforum.com/","Included for completeness only."
"ORG-064","CenterOak Partners","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Services/industrials","YES — dedicated origination/BD","Active institutional acquirer","2026","2","ECO-001; ECO-002","High","","Has a dedicated BD partner — the disqualifying signal. Reframe as referral peer and potential exit buyer."
"ORG-065","Centerfield Capital / Centerfield","Independent sponsor","IND_SPONSOR","CLIENT","C","","","","","","","LOW-MEDIUM","NO","Independent sponsor community","2026","1","IS-006","Low-Medium","",""
"ORG-066","Cobepa","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Fire & life safety","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-008","High","","Bought Eagle Fire from Rosewood. Fire & life safety exit-buyer intelligence."
"ORG-067","DPO&Co commercial HVAC platform","PE-backed platform","OPERATOR_ACQUIRER","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","DIRECT — commercial HVAC","LIKELY YES — 20 deals in 22 months implies a built origination machine","20 acquisitions in 22 months","2025","1","OPR-010","Medium","","Deal velocity is the disqualifier — they already solved sourcing."
"ORG-068","Farlie Turner & Co","LMM investment bank","REFERRAL_BANKING","REFERRAL","C","","","","","","","N/A","","LMM M&A advisory","2026","1","REF-020","Medium","",""
"ORG-069","Ferghana Investment Partners","Investor","REFERRAL_BANKING","REFERRAL","C","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-013","High","https://www.acg.org/dfw",""
"ORG-070","Gupta Capital Group","Single family office","FAMILY_OFFICE","CLIENT","C","Dallas","TX","guptacapitalgroup.com","","","","MEDIUM — steel/metals manufacturing and distribution, control PE","Unknown","Industrial control buyouts","2025","1","FO-013","Medium on firm / None on individual","https://guptacapitalgroup.com/",""
"ORG-071","Huntington National Bank (NASDAQ: HBAN)","SBA 7(a) lender — #1 by loan count FY2025","CAPITAL_SBA","REFERRAL","C","Columbus","OH","",">6,000 7(a) approvals FY2025; top by count 7 consecutive years","","","Generalist; strong Midwest/Mid-Atlantic; 1.90% acquisition default rate","N/A","Highest 7(a) loan count nationally","2025-09","1","SBA-002","High on firm / None on individual","https://www.sba.gov/",""
"ORG-072","Legacy Service Partners (Gridiron Capital)","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","HVAC/plumbing/electrical","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-011","High","","50+ brand target across HVAC/plumbing/electrical. Fully resourced."
"ORG-073","OMERS Private Equity","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Commercial HVAC","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-009","High","","Pueblo Mechanical sponsor; three Texas add-ons. Register intelligence."
"ORG-074","Prodos Capital","Independent sponsor","IND_SPONSOR","CLIENT","C","New York","NY","","","","","LOW — generalist","NO","iGlobal ISS speaker","2026","1","IS-008","Medium","https://www.iglobalforum.com/",""
"ORG-075","Pueblo Mechanical & Controls (OMERS)","PE-backed platform","OPERATOR_ACQUIRER","ECOSYSTEM_DO_NOT_PITCH","C","Phoenix","AZ","","","","","DIRECT — commercial HVAC; Texas add-ons Climate Solutions (Austin), Evolution Mechanical (Dallas-area), Infinity Contractors (Fort Worth)","OMERS-backed, institutional origination","Three Texas add-ons","2025","1","OPR-011","High","https://www.omers.com/","Feeds the DFW consolidator register directly."
"ORG-076","Redwood Services (Altas Partners)","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Home services","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-010","High","","~$1.1B, ~17x on ~$65M EBITDA Q2 2025. Fully resourced."
"ORG-077","SkyKnight Capital","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Commercial MEP","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-007","High","","Sponsor behind FirstCall (OPR-005). Approach only as the gate to FirstCall, not as a client."
"ORG-078","Sole Source Capital","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Industrials","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-004","High","","Internal M&A head. Ecosystem only."
"ORG-079","Star Mountain Capital","Direct credit + structured equity, SBIC heritage","CAPITAL_DEBT","REFERRAL","C","New York","NY","starmountaincapital.com","","","LMM, >=$15M revenue","LOW — no trade-specific statement","Yes","","","2","CAP-013; CAP-014","Medium","https://starmountaincapital.com/team/brett-hickey/",""
"ORG-080","TPG Twin Brook Capital Partners","Senior debt, sponsor-led","CAPITAL_DEBT","REFERRAL","C","Chicago","IL","twincp.com","","","$3-50M, emphasis <=$25M","LOW/MEDIUM — broad mandate, no trade-specific statement","Yes","","","1","CAP-012","Medium","https://twincp.com/team","Included for completeness. Low conviction."
"ORG-081","Trinity Hunt Partners","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Services","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-003","High","","Dedicated origination function plus direct-sourcing associates. Do not pitch."
