"license_type","license_number","business_county","business_name","business_address_line1","business_address_line2","business_city_state_zip","business_telephone","license_expiration_date_mmddccyy","owner_name","mailing_address_line1","mailing_address_line2","mailing_address_city_state_zip","mailing_address_county","owner_telephone","license_subtype","continuing_education_flag","business_mailing"
"A/C Contractor","86157","DENTON","RHINO AIR CONDITIONING AND HEATING",,,,,"04/02/2027","LECKBEE, RYAN DAVID",,,,"DENTON",,"BE","N",
"A/C Contractor","95774","WISE","ARY CO AC & HEAT LLC",,,,,"03/22/2027","ARY, MARK ANTHONY",,,,"WISE",,"AC","N",
"A/C Contractor","88674","COLLIN","SUPERIAIR LLC",,,,,"05/17/2027","PINCKNEY, WALTER DOUGLAS SR",,,,"COLLIN",,"AR","N",
"A/C Contractor","28628","TARRANT","BERRY'S A/C INC",,,,,"09/22/2026","BERRY, HAROLD D",,,,"TARRANT",,"BE","N",
"A/C Contractor","26892","DENTON","NOMIX, INC.",,,,,"01/25/2027","MANOS, HARRON G",,,,"DENTON",,"BE","N",
"A/C Contractor","28130","COLLIN","JAMES T BUFORD",,,,,"10/29/2026","BUFORD, JAMES T",,,,"COLLIN",,"AC","N",
"A/C Contractor","27762","TARRANT","TEXAS REFRIGERATION, INC.",,,,,"04/23/2027","WATSON, RANDAL S",,,,"TARRANT",,"AC","N",
"A/C Contractor","22872","TARRANT","TGS INDEPENDENT LLC",,,,,"03/14/2026","ROBINSON, NATHAN",,,,"TARRANT",,"BE","N",
"A/C Contractor","16425","ELLIS","CONSTANT AIR",,,,,"05/13/2027","SHERRARD, ROBBIN WAYNE",,,,"ELLIS",,"AC","N",
"A/C Contractor","24067","TARRANT","MARK MOFFITT",,,,,"05/20/2027","MOFFITT, MARK ALAN",,,,"TARRANT",,"BE","N",
"A/C Contractor","12764","WISE","BLACKWOOD REFRIGERATION",,,,,"01/19/2027","BLACKWOOD, ROBERT SCOTT",,,,"WISE",,"AC","N",
"A/C Contractor","37763","COLLIN","EFFICIENT HOME SOLUTIONS INC.",,,,,"04/27/2027","RIVERA, DAVID A",,,,"COLLIN",,"BE","N",
"A/C Contractor","10459","TARRANT","AIR TEX MECHANICAL",,,,,"09/16/2026","STUM, GARY MATTISON",,,,"TARRANT",,"AE","N",
"A/C Contractor","29356","COLLIN","ADAMS AIR COMPANY",,,,,"02/08/2026","ADAMCZEWSKI, NORMAN N",,,,"COLLIN",,"AR","N",
"A/C Contractor","24167","TARRANT","P T SERVICE CO",,,,,"09/30/2026","VASQUEZ, PETER",,,,"TARRANT",,"BE","N",
"A/C Contractor","96420","DENTON","TEXAIRE",,,,,"06/01/2027","WRIGHT, DAVID",,,,"DENTON",,"AE","N",
"A/C Contractor","14439","TARRANT","LARRY CASADOS A/C & HEATING",,,,,"02/27/2027","CASADOS, LAWRENCE R",,,,"TARRANT",,"BE","N",
"A/C Contractor","54701","DENTON","TRUE BLUE AIR SERVICE LLC",,,,,"08/19/2026","LILLEY, MATTHEW M",,,,"DENTON",,"AE","N",
"A/C Contractor","14932","DALLAS","BRIELY SERVICE COMPANY LLC",,,,,"05/19/2027","SCAMPERLE, BRIAN JOHN",,,,"DALLAS",,"BC","N",
"A/C Contractor","17163","TARRANT","RAYCOR SERVICE COMPANY",,,,,"06/04/2027","CANNEDY, RAYFORD W",,,,"TARRANT",,"BE","N",
"A/C Contractor","4523","DALLAS","CRUTCH APPLIANCE & AIR CONDITIONING",,,,,"08/24/2026","CRUTCH, THOMAS",,,,"DALLAS",,"BC","N",
"A/C Contractor","58165","DALLAS","ROBERT & SONS A/C & HEATING, LLC",,,,,"03/19/2027","RECENDIZ, ROBERT JR",,,,"DALLAS",,"BE","N",
"A/C Contractor","29390","DENTON","FOWLER AIR",,,,,"01/05/2027","FOWLER, STEPHEN R",,,,"DENTON",,"BE","N",
"A/C Contractor","63725","DALLAS","TEXAS CHOICE HEATING & AIR",,,,,"01/28/2027","DANIEL, ELAD",,,,"DALLAS",,"BE","N",
"A/C Contractor","42990","PARKER","A ASSOCIATED HEATING & A/C",,,,,"12/23/2026","HENDRICK, FLOYD RALPH III",,,,"PARKER",,"AC","N",
"A/C Contractor","21951","COLLIN","3DC SERVICES LLC",,,,,"03/08/2027","HARPER, DAVID",,,,"COLLIN",,"AC","N",
"A/C Contractor","20062","TARRANT","DYNAMIC MECHANICAL SOLUTIONS",,,,,"03/26/2027","MASHBURN, JEFF",,,,"TARRANT",,"AC","N",
"A/C Contractor","100360","TARRANT","TDINDUSTRIES INC",,,,,"10/01/2026","AKHTAR, FOUWAD SALEEM",,,,"TARRANT",,"AC","N",
"A/C Contractor","17074","DALLAS","LONGHORN MECHANICAL, INC",,,,,"06/26/2027","GERSTNER, MARK HOWARD",,,,"DALLAS",,"AE","N",
"A/C Contractor","5162","TARRANT","WARD BROS A/C & HEATING",,,,,"12/18/2026","WARD, JESSE JAMES",,,,"TARRANT",,"BC","N",
"A/C Contractor","22458","PARKER","CLIFTON LAMAR GERON",,,,,"03/28/2027","GERON, CLIFTON LAMAR",,,,"PARKER",,"AC","N",
"A/C Contractor","19244","TARRANT","JOE COOL'S COOLING & HEATING",,,,,"04/04/2027","LEFKOSKI, JOE",,,,"TARRANT",,"BE","N",
"A/C Contractor","56620","DALLAS","DUNCAN AC SERVICES",,,,,"12/06/2026","DUNCAN, BRYCE GREGORY",,,,"DALLAS",,"BE","N",
"A/C Contractor","36503","DALLAS","BLACKALL MECHANICAL INC",,,,,"03/16/2027","CROMEENS, SHAN PAUL",,,,"DALLAS",,"AE","N",
"A/C Contractor","26092","TARRANT","C & S AIR INC",,,,,"08/17/2027","OKEEFE, DEREK C",,,,"TARRANT",,"BE","N",
"A/C Contractor","40705","TARRANT","AIRBORN A/C AND HEATING",,,,,"08/18/2026","MENDOZA, JUAN R",,,,"TARRANT",,"BE","N",
"A/C Contractor","3861","DENTON","ABRAHAM HEATING & AIR CONDITIONING",,,,,"05/20/2027","ABRAHAM, RODNEY",,,,"DENTON",,"BC","N",
"A/C Contractor","29785","DENTON","NORDIC AIR MECHANICAL LLC",,,,,"04/16/2027","NYGAARD, KEVIN E",,,,"DENTON",,"AC","N",
"A/C Contractor","77599","KAUFMAN","BELL AIR HEATING AND A/C",,,,,"01/17/2027","BELL, CHRISTOPHER MICAH",,,,"KAUFMAN",,"BE","N",
"A/C Contractor","73448","ROCKWALL","CLARK AIR SERVICES",,,,,"08/11/2026","CLARK, ODUS DEWAYNE JR",,,,"ROCKWALL",,"BE","N",
"A/C Contractor","15912","JOHNSON","AIRWAVES AIR CONDITIONING & HEATING INC",,,,,"06/07/2027","MONTGOMERY, MARVIN EUGENE",,,,"JOHNSON",,"BE","N",
"A/C Contractor","27052","DALLAS","GOLD STAR HEATING & AIR CONDITIONING",,,,,"04/26/2027","TRANG, PAUL B",,,,"DALLAS",,"BC","N",
"A/C Contractor","39351","WISE","KENDRICK HEATING & AIR & REFRIGERATION",,,,,"06/21/2027","KENDRICK, ROBERT J",,,,"WISE",,"BC","N",
"A/C Contractor","26237","TARRANT","DELTA HEATING & AIR CONDITIONING",,,,,"08/05/2025","TOWNER, CURTISS JR",,,,"TARRANT",,"BE","N",
"A/C Contractor","19072","TARRANT","KEISH ENTERPRISES INC DBA DUCTZ OF DFW N",,,,,"12/04/2026","MELTON, THOMAS R",,,,"TARRANT",,"AE","N",
"A/C Contractor","19901","DALLAS","CLAMAN CORP DBA ALL AMERICAN HVAC",,,,,"12/11/2026","HELLMAN, PAOLA",,,,"DALLAS",,"AE","N",
"A/C Contractor","56789","DALLAS","WALKER'S MECHANICAL SERV HTG & A/C LLC",,,,,"12/23/2026","WALKER, NIKEL LANCE",,,,"DALLAS",,"AE","N",
"A/C Contractor","22291","DENTON","EXECUTIVE MECHANICAL SERVICES LLC",,,,,"07/22/2026","KIDD, KENNETH D JR",,,,"DENTON",,"AC","N",
"A/C Contractor","5517","PARKER","3-D MAINTENANCE",,,,,"10/11/2026","STOREY, THOMAS E",,,,"PARKER",,"AC","N",
"A/C Contractor","51340","COLLIN","AMERICAN HERITAGE AC & HEATING SOLUTIONS",,,,,"02/21/2027","ROMANIELLO, OWEN N",,,,"COLLIN",,"BE","N",
"A/C Contractor","39122","DALLAS","WOLVERTON COMPANY",,,,,"06/14/2027","WOLVERTON, MATTHEW R",,,,"DALLAS",,"AC","N",
"A/C Contractor","71815","TARRANT","CANYONDALE LP DBA RATTERREE HEAT & AIR",,,,,"05/05/2027","RATTERREE, MICHAEL MORRIS",,,,"TARRANT",,"AE","N",
"A/C Contractor","1754","TARRANT","GEGG'S MAINTENANCE SERVICE",,,,,"06/15/2027","GEGG, THOMAS JOSEPH",,,,"TARRANT",,"BC","N",
"A/C Contractor","13611","DALLAS","FRISCO MECHANICAL SERVICES LLC",,,,,"08/23/2026","KALLBREIER, GENE",,,,"DALLAS",,"AC","N",
"A/C Contractor","6308","DALLAS","AIRE FORCE 1 INC",,,,,"01/09/2027","FORD, LARRY EUGENE",,,,"DALLAS",,"AC","N",
"A/C Contractor","27193","DALLAS","NEWTONS AIR",,,,,"06/26/2027","NEWTON, ARNOLD W",,,,"DALLAS",,"AE","N",
"A/C Contractor","35072","DALLAS","NICKLEBERRY HEATING & AIR",,,,,"02/18/2027","NICKLEBERRY, JEREMY",,,,"DALLAS",,"AE","N",
"A/C Contractor","1409","TARRANT","WESTERN AIR TEMPERATURE CONTROL",,,,,"09/30/2026","PIERCE, RANDY LEE",,,,"TARRANT",,"AC","N",
"A/C Contractor","63512","TARRANT","REDLINE",,,,,"01/15/2027","YOUNG, LEON",,,,"TARRANT",,"BE","N",
"A/C Contractor","24686","ELLIS","FERGUSON ELECTRIC & A/C SERVICE",,,,,"04/27/2027","SHAW, WILLIAM SCOTT",,,,"ELLIS",,"BE","N",
"A/C Contractor","8429","ROCKWALL","SUMNERS HEATING & AIR CONDITIONING INC",,,,,"06/25/2027","SUMNERS, ROY LEE",,,,"ROCKWALL",,"BE","N",
"A/C Contractor","85700","ELLIS","AIR MECHANIX LLC",,,,,"02/18/2027","HARRIS, TERRY EUGENE",,,,"ELLIS",,"AC","N",
"A/C Contractor","87814","ELLIS","FAMILY AIR LLC",,,,,"04/18/2027","WALLACE, JOSHUA LEE",,,,"ELLIS",,"AE","N",
"A/C Contractor","28222","TARRANT","ER AIR CONDITIONING",,,,,"12/10/2026","LYNN, ERIC S",,,,"TARRANT",,"BE","N",
"A/C Contractor","29862","ELLIS","A-1 AFFORDABLE AIR",,,,,"05/05/2027","CRIDER, CHAD D",,,,"ELLIS",,"BE","N",
"A/C Contractor","13583","TARRANT","GLENN'S AIR CONDITIONING & HEATING",,,,,"10/04/2026","MILLER, GLENN ANDERSON",,,,"TARRANT",,"BE","N",
"A/C Contractor","92157","DENTON","RAUL SALAZAR",,,,,"09/25/2026","SALAZAR, RAUL III",,,,"DENTON",,"BE","N",
"A/C Contractor","6359","ELLIS","B-MOORE AIR CONDITIONING",,,,,"05/09/2027","MOORE, BRUCE DUANE",,,,"ELLIS",,"BC","N",
"A/C Contractor","26412","TARRANT","TCR HEATING & AIR LLC",,,,,"04/07/2027","MARBURGER, MONROE E",,,,"TARRANT",,"AC","N",
"A/C Contractor","28662","DALLAS","ASTAR HEAT & AIR, INC",,,,,"05/18/2027","ESPARZA, ELISEO R",,,,"DALLAS",,"BE","N",
"A/C Contractor","23391","DENTON","ATLAS GEO THERMAL LLC",,,,,"12/10/2026","FROST, JOHNNIE WILLIAM",,,,"DENTON",,"BE","N",
"A/C Contractor","30781","DALLAS","MR ROY HEATING & AIR CONDITIONING",,,,,"12/30/2026","ALCANTARA, ROY FREDDY",,,,"DALLAS",,"BE","N",
"A/C Contractor","26787","DALLAS","A/C & HEATING INSTALLATION TEAM",,,,,"12/02/2026","GONZALEZ, ARMANDO",,,,"DALLAS",,"BE","N",
"A/C Contractor","34786","COLLIN","BLAZIN HEAT & AIR",,,,,"12/19/2026","BIGGS, JERRY M II",,,,"COLLIN",,"BE","N",
"A/C Contractor","50146","DALLAS","J'S AIR AND HEATING SERVICES",,,,,"12/09/2026","DE LA GARZA, JONATHAN",,,,"DALLAS",,"BE","N",
"A/C Contractor","46504","COLLIN","JARIC AC SERVICES LLC",,,,,"05/21/2027","RICHMOND, JAMES M",,,,"COLLIN",,"BE","N",
"A/C Contractor","82307","DALLAS","VALDEZ HVAC LLC",,,,,"07/25/2026","VALDEZ, ANTONIO SR",,,,"DALLAS",,"BE","N",
"A/C Contractor","98114","TARRANT","C 1 AIR CONDITIONING LLC",,,,,"06/17/2027","LEE, SANGJIN",,,,"TARRANT",,"AC","N",
"A/C Contractor","40436","DALLAS","MARTIN HEATING & AIR",,,,,"08/05/2026","MARTIN, STEVE S II",,,,"DALLAS",,"BE","N",
"A/C Contractor","18152","DALLAS","VOLTAMP AIR CONDITIONING & REFRIGERATION",,,,,"04/20/2027","GEORGE, RAJU P",,,,"DALLAS",,"BR","N",
"A/C Contractor","21501","DALLAS","A C'S MECHANICAL HEATING AIR",,,,,"08/14/2026","WHITAKER, A C JR",,,,"DALLAS",,"BE","N",
"A/C Contractor","11180","DALLAS","S E SCOTT & ASSOCIATES",,,,,"04/11/2027","SCOTT, STEPHEN EDWARD",,,,"DALLAS",,"AE","N",
"A/C Contractor","5910","TARRANT","LEONARD'S A/C & HEATING SERVICE",,,,,"02/16/2027","BAKER, LEONARD",,,,"TARRANT",,"BC","N",
"A/C Contractor","93595","TARRANT","WELDON CONTRACTORS LLC",,,,,"01/11/2027","SAVAGE, JAMES ROBERT JR",,,,"TARRANT",,"AC","N",
"A/C Contractor","11347","ELLIS","ROBINSON AIR & ELECTRIC INC",,,,,"12/16/2026","ROBINSON, JOHN WAYNE JR",,,,"ELLIS",,"BE","N",
"A/C Contractor","27455","DALLAS","DONALD'S DUCT",,,,,"12/29/2026","MILLS, DONALD L",,,,"DALLAS",,"BC","N",
"A/C Contractor","27708","DALLAS","JUST SPEEDY SERVICES",,,,,"04/04/2027","ROSALES, ESPERIDION M",,,,"DALLAS",,"BE","N",
"A/C Contractor","31730","TARRANT","FOSTER'S MECHANICAL LLC",,,,,"07/22/2026","FOSTER, TOBY G",,,,"TARRANT",,"AE","N",
"A/C Contractor","78669","DALLAS","TACTICAL AIR CONDITIONING SERVICES",,,,,"02/28/2027","CRUZ, ANTONIO",,,,"DALLAS",,"BC","N",
"A/C Contractor","50689","DALLAS","HORNER'S SERVICE DFW",,,,,"01/05/2027","HORNER, MICHAEL WADE SR",,,,"DALLAS",,"BE","N",
"A/C Contractor","3534","TARRANT","WASHBURN AIR",,,,,"01/31/2027","PIERCE, JEFFREY DARRELL",,,,"TARRANT",,"AC","N",
"A/C Contractor","1868","DALLAS","DONALD D SUTTON",,,,,"06/19/2027","SUTTON, DONALD D",,,,"DALLAS",,"AC","N",
"A/C Contractor","16300","HUNT","SPEC RITE REFRIGERATION INC",,,,,"05/06/2027","TAYLOR, LARRY N",,,,"HUNT",,"AC","N",
"A/C Contractor","64973","DALLAS","ALL SEISMIC SOLUTIONS LLC",,,,,"04/08/2027","PULIDO, OMAR ALBERTO",,,,"DALLAS",,"AE","N",
"A/C Contractor","52127","TARRANT","ADAIR MECHANICAL SERVICES LLC",,,,,"09/04/2026","MONROE, BRANDON A",,,,"TARRANT",,"AC","N",
"A/C Contractor","72495","DALLAS","ARAYA A/C & HEAT",,,,,"05/05/2027","NEGASI, ARAYA H",,,,"DALLAS",,"BE","N",
"A/C Contractor","11140","TARRANT","ALADDIN HEATING & AIR",,,,,"03/23/2027","PEARCY, TERRY LYN",,,,"TARRANT",,"BE","N",
"A/C Contractor","62487","DENTON","GUY'S SERVICES",,,,,"10/28/2026","HAMMONS, GUY SPENCER",,,,"DENTON",,"AC","N",
"A/C Contractor","12082","DALLAS","WENDELL LAMON GREGGS",,,,,"10/12/2026","GREGGS, WENDELL LAMON",,,,"DALLAS",,"AE","N",
"A/C Contractor","19934","DALLAS","HIGHLAND PLUMBING HEATING & AIR",,,,,"12/23/2026","DAGLEY, THOMAS B",,,,"DALLAS",,"AC","N",
"A/C Contractor","20867","DALLAS","H J HICKS ENTERPRISES",,,,,"03/03/2027","HICKS, HAROLD J JR",,,,"DALLAS",,"BE","N",
"A/C Contractor","27221","HUNT","MAK MECHANICAL,LLC",,,,,"07/06/2027","MARTIN, MARK A",,,,"HUNT",,"AC","N",
"A/C Contractor","14867","DENTON","PRESTON, RODNEY SHAWN",,,,,"05/29/2027","PRESTON, RODNEY SHAWN",,,,"DENTON",,"AC","N",
"A/C Contractor","93076","DALLAS","AC'S HEATING AND AIR",,,,,"11/12/2026","CASTILLO, ANDRES",,,,"DALLAS",,"AE","N",
"A/C Contractor","23154","TARRANT","DAVID RADEMAKERS/DBA A & D SERVICES",,,,,"08/13/2027","RADEMAKERS, DAVID",,,,"TARRANT",,"BC","N",
"A/C Contractor","28024","WISE","ANDY'S AIR SERVICES LLC",,,,,"05/13/2027","TRAWEEK, ANDREW",,,,"WISE",,"BE","N",
"A/C Contractor","69927","TARRANT","MECHANICAL EXPERTS",,,,,"04/19/2027","NEWTON, RANDELL MELVIN",,,,"TARRANT",,"BR","N",
"A/C Contractor","28587","TARRANT","A/C SERVICE MAINTENANCE",,,,,"04/29/2026","ALVAREZ-TOSTADO, AXEL",,,,"TARRANT",,"BC","N",
"A/C Contractor","5803","DALLAS","SANDENVENDO AMERICA,INC.",,,,,"06/25/2027","TRAVIS, HARRISON ODELL III",,,,"DALLAS",,"AC","N",
"A/C Contractor","74773","DENTON","STEPHEN SCOTT MORSE",,,,,"08/15/2026","MORSE, STEPHEN SCOTT",,,,"DENTON",,"AE","N",
"A/C Contractor","12264","DALLAS","NEW METRO AIR CONDITIONING & HEATING",,,,,"10/17/2026","MASHIMO, TOMIO",,,,"DALLAS",,"BE","N",
"A/C Contractor","12593","TARRANT","L S MECHANICAL INC DBA LONE STAR",,,,,"06/18/2027","BOULDIN, TOM R",,,,"TARRANT",,"BC","N",
"A/C Contractor","16628","DALLAS","BB AIR & HEAT SERVICES LLC",,,,,"02/27/2027","BERRY, TROY D JR",,,,"DALLAS",,"BE","N",
"A/C Contractor","52732","DALLAS","AIR TEAM SERVICE",,,,,"04/26/2027","ONTIVEROS, JOSE L",,,,"DALLAS",,"BE","N",
"A/C Contractor","2910","DALLAS","CARRIER GLOBAL CORPORATION",,,,,"01/12/2027","BILLINGS, ALVIN LINDY JR",,,,"DALLAS",,"AC","N",
"A/C Contractor","94356","COLLIN","RS A/C & HEATING",,,,,"01/28/2027","SANTIBANEZ, ROGELIO",,,,"COLLIN",,"AE","N",
"A/C Contractor","29239","TARRANT","TACHTAUL MECHANICAL",,,,,"11/04/2026","TACHTAUL, TROY",,,,"TARRANT",,"BC","N",
"A/C Contractor","83652","TARRANT","TRANSFORM SEARS HOME SERVICES LLC",,,,,"10/16/2026","LEON, CARLOS E",,,,"TARRANT",,"BE","N",
"A/C Contractor","2236","DALLAS","ELSTON AIRE INC DBA A/C GEEKS",,,,,"02/07/2027","WASHBURN, DAVID P",,,,"DALLAS",,"AC","N",
"A/C Contractor","36067","COLLIN","SAMMY BERNAL",,,,,"05/31/2027","BERNAL, SAMMY JR",,,,"COLLIN",,"BC","N",
"A/C Contractor","20292","PARKER","SCHRICK'S AIR CONDITIONING & HEATING",,,,,"09/15/2026","SCHRICK, JOSH K",,,,"PARKER",,"BC","N",
"A/C Contractor","19145","TARRANT","RIVER OAKS HEATING & AIR",,,,,"11/04/2026","WEAVER, JOE L",,,,"TARRANT",,"BE","N",
"A/C Contractor","13361","DALLAS","D L W AIR CONDITIONING & HEATING SERVICE",,,,,"07/15/2026","WILSON, DANIEL LYNN",,,,"DALLAS",,"AE","N",
"A/C Contractor","8886","TARRANT","RELIANT HEATING & AIR CONDITIONING INC",,,,,"04/14/2026","STANLEY, WALLACE RAY",,,,"TARRANT",,"BE","N",
"A/C Contractor","27500","DALLAS","CHRIS ALDRIDGE",,,,,"01/08/2027","ALDRIDGE, CHRISTOPHER D",,,,"DALLAS",,"AC","N",
"A/C Contractor","5461","DALLAS","HARGIS HEAT & AIR",,,,,"09/01/2026","HARGIS, LAWRENCE FREEMAN",,,,"DALLAS",,"BE","N",
"A/C Contractor","88563","COLLIN","AR MECHANICAL",,,,,"09/08/2026","RAMOS, ANTHONY SAMUEL",,,,"COLLIN",,"AC","N",
"A/C Contractor","1056","DALLAS","BRUNDRETT HEAT & AIR",,,,,"01/26/2027","BRUNDRETT, RUSSELL CLIFTON",,,,"DALLAS",,"AC","N",
"A/C Contractor","19274","TARRANT","COMFORT-ABLE AIR",,,,,"04/27/2027","ZERR, ROBERT DEAN",,,,"TARRANT",,"AC","N",
"A/C Contractor","27353","TARRANT","ARLINGTON INDEPENDENT SCHOOL DISTRICT",,,,,"07/02/2027","HELM, DANIEL S JR",,,,"TARRANT",,"AC","N",
"A/C Contractor","1087","TARRANT","G & L MECHANICAL CONTRACTOR INC",,,,,"02/25/2027","ADAMS, RONALD WAYNE",,,,"TARRANT",,"AC","N",
"A/C Contractor","13078","TARRANT","BEE LINE MECHANICAL INC",,,,,"12/18/2026","WORTMAN, SCOTT B",,,,"TARRANT",,"BE","N",
"A/C Contractor","9730","JOHNSON","MONTY FINSTAD AIR CONDITIONING",,,,,"06/06/2027","FINSTAD, MONTY LYNN",,,,"JOHNSON",,"BE","N",
"A/C Contractor","97235","TARRANT","AIR TECHS HEATING & COOLING LLC",,,,,"05/15/2027","GARCIA, JOSE GREGORIO",,,,"TARRANT",,"AE","N",
"A/C Contractor","34856","DALLAS","AIRSTREAM HEATING & COOLING 1 LLC",,,,,"12/18/2026","RUIZ, JAVIER",,,,"DALLAS",,"BE","N",
"A/C Contractor","57565","TARRANT","AIR 1 AIR CONDITIONING AND HEATING",,,,,"02/18/2027","SMITH, HERSHUL JAMES SR",,,,"TARRANT",,"BE","N",
"A/C Contractor","69147","DALLAS","TRANSFORM SEARS HOME SERVICES LLC",,,,,"11/17/2026","ZIMMERMAN, KEVIN DEAN",,,,"DALLAS",,"BE","N",
"A/C Contractor","87006","TARRANT","M. BROWN SERVICE COMPANY HTG, AC & ELC",,,,,"04/03/2027","ZEPEDA, RUDY SHANE",,,,"TARRANT",,"AE","N",
"A/C Contractor","61700","DALLAS","KINGFISHER MECHANICAL",,,,,"12/16/2025","SOLIS, ROBERTO",,,,"DALLAS",,"BE","N",
"A/C Contractor","27932","COLLIN","W&B INC DBA ALL SERVICE HEAT AND AIR",,,,,"07/17/2027","MCGILL, JOSHAWA A",,,,"COLLIN",,"BE","N",
"A/C Contractor","12445","TARRANT","LUMAR, LLC, DBA CLEAR ICE SERVICE CO",,,,,"05/18/2027","FERGUSON, MARK ALAN",,,,"TARRANT",,"BC","N",
"A/C Contractor","28784","DENTON","AIR REPAIR",,,,,"06/15/2027","CASTILLO, DANNY R",,,,"DENTON",,"BE","N",
"A/C Contractor","17068","DALLAS","JPR MECHANICAL",,,,,"07/16/2027","POTTER, JOHN P",,,,"DALLAS",,"AE","N",
"A/C Contractor","20714","DENTON","AIR CHECK TEST",,,,,"09/23/2026","SANFORD, PERRY ANDREW",,,,"DENTON",,"AC","N",
"A/C Contractor","96306","DENTON","CENTRAL INTELLIGENCE AIR -CONDITIONING",,,,,"04/10/2027","LEE, YONG JIN",,,,"DENTON",,"AC","N",
"A/C Contractor","4431","DALLAS","DWIGHT RAY QUARLES",,,,,"05/01/2027","QUARLES, DWIGHT RAY",,,,"DALLAS",,"AC","N",
"A/C Contractor","17678","TARRANT","KIDWELL'S AIR & HEAT",,,,,"01/09/2027","KIDWELL, KEITH DANIEL",,,,"TARRANT",,"BC","N",
"A/C Contractor","28966","DENTON","ONE HOUR HEATING & AC OF FRISCO",,,,,"08/27/2026","DAVIS, KEVIN RENARD",,,,"DENTON",,"AE","N",
"A/C Contractor","1221","DALLAS","JOHN COOK & ASSOCIATES INC",,,,,"03/16/2027","COOK, JOHNNIE KEVIN",,,,"DALLAS",,"AC","N",
"A/C Contractor","46170","DALLAS","MUSTANG MECHANICAL",,,,,"05/08/2027","CRAYTON, LARRY",,,,"DALLAS",,"BE","N",
"A/C Contractor","21544","TARRANT","R W FREDERICK & ASSOCIATES",,,,,"02/02/2027","FREDERICK, ROBERT W",,,,"TARRANT",,"BE","N",
"A/C Contractor","1201","TARRANT","PEARSON MECHANICAL INC",,,,,"03/12/2027","PEARSON, JIM O",,,,"TARRANT",,"AC","N",
"A/C Contractor","12530","COLLIN","MONTGOMERY HVAC SERVICE COMPANY LLC",,,,,"09/25/2026","MONTGOMERY, STEVEN R",,,,"COLLIN",,"BE","N",
