"org_id","firm","firm_type","segment","bucket","tier","city","state","website","aum_or_fund_size","check_size","ebitda_range","vertical_fit","internal_corpdev","buyside_signal","signal_date","contact_count","contact_ids","confidence","source_url","notes","account_type","sponsor_parent","verticals_active","states_active","platform_count","texas_exposure","trigger_type","trigger_date","verification","last_checked"
"ORG-011","Monroe Capital","Senior / unitranche private credit","CAPITAL_DEBT","REFERRAL","A","Chicago","IL","monroecap.com","","Senior/unitranche","$3-35M borrower EBITDA","STRONGEST — Nelbud/360 Services ($14.5M, kitchen fire prevention/protection); Helton Electrical (2026); Interstate AC Service (HVAC/plumbing/building automation)","Origination team","Repeat trade lending incl. fire & life safety","2026","1","CAP-011","High on firm / None on individual","https://monroecap.com/financing-solutions/","Highest vertical alignment of any lender identified. Worth the research effort to name the right person.","","","","","","","","","",""
"ORG-012","Rosewood Private Investments","Single family office (Caroline Hunt Trust Estate)","FAMILY_OFFICE","CLIENT","A","Dallas","TX","rosewoodpi.com","$1B+ (Rosewood Corp)","","","DIRECT — FIRE & LIFE SAFETY (Eagle Fire platform); industrial/environmental services","Small team","Eagle Fire add-ons Liberty Fire and Pro-Tec; Eagle Fire subsequently sold to Cobepa","2023-10","1","FO-001","High","https://rosewoodpi.com/the-rosewood-difference/","Best combination on the entire board: DFW + beachhead vertical + proven platform + lean team.
[2026-08-19 verification pass / P2-032] Own site (/the-rosewood-difference/): 'the private equity arm of the Rosewood Corporation, a multi-billion dollar, family-owned enterprise headquartered in Dallas, Texas,' 'wholly owned by the Caroline Hunt Trust Estate,' 'a stable, evergreen source of capital'; site news names Derry Burns, Director (Eagle Fire acquisitions). Funnel row P2-032 merged: 20 platforms, evergreen, industrial services.","P2_FAMILY_OFFICE","","industrial_services","TX","20","yes","","","VERIFIED","2026-08-19"
"ORG-013","Serata Capital Partners / Calidant Capital","Independent sponsor","IND_SPONSOR","CLIENT","A","Austin","TX","","","$10-30M checks historically","","MEDIUM — business services","NO dedicated BD","iGlobal ISS speaker; 15+ yrs PE incl. ORIX, Pharos, Shoreline","2026","1","IS-001","High","https://www.iglobalforum.com/","","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-014","Surge Private Equity","Family office / LMM buyout","FAMILY_OFFICE","CLIENT","A","Dallas","TX","surgepe.com","","","$2-7.5M","MEDIUM-HIGH — business services, healthcare, tech-enabled services; recurring-revenue thesis","Small team","White Plains Linen ~$50M+ investment","2025-08","1","FO-004","High","https://surgepe.com/","Dallas + active + lean team + clean thesis fit.","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-015","Texas HVAC services platform (name undisclosed)","Operator-led independent sponsor","OPERATOR_ACQUIRER","CLIENT","A","Navasota","TX","","","","","DIRECT — HVAC","NO","Inaugural controlled buyout of a Texas HVAC business closed","2026-07","1","OPR-004","Medium (single source)","https://finance.yahoo.com/small-business/articles/raises-com-r-advises-successful-223000367.html","Distinct from unrelated same-name individuals. Structure was equity-light with institutional senior credit.","","","","","","","","","",""
"ORG-016","User Friendly Home Services","Operator-acquirer","OPERATOR_ACQUIRER","CLIENT","A","The Woodlands","TX","","19+ companies, ~$40M revenue","","","DIRECT — HVAC / plumbing","NO","19+ acquisitions as of Mar 2025","2025-03","1","OPR-003","Medium-High","https://www.craftflow.com/dossier/what-companies-has-user-friendly-home-services-acquired","Clearest single-sentence value proposition of any target on the board.","","","","","","","","","",""
"ORG-017","Weil Gotshal","PE law firm / family office network node","REFERRAL_LEGAL","REFERRAL","A","Dallas","TX","weil.com","","","","N/A — network node","N/A","Advises PE sponsors and family offices on direct investments; fmr GC Hunt Consolidated","2026","1","REF-002","High","https://www.acg.org/dfw","Unlocks FO-001, FO-006, FO-007, FO-012. Treat as a gateway, not a single contact.","","","","","","","","","",""
"ORG-018","A.G. Hill Partners","Single family office (H.L. Hunt descendants)","FAMILY_OFFICE","CLIENT","B","Dallas","TX","","","","","LOW-MEDIUM — real estate / PE / energy","Unknown","Co-invests in direct deals (PureWest)","2025","1","FO-006","Medium","https://praxisrock.com/resources/investors/family-offices-dallas","","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-019","A.R.I. (Applied Real Intelligence) Senior Secured Growth Credit Fund","Private credit — senior secured term loans","CAPITAL_DEBT","REFERRAL","B","","","","","Senior secured term loans / structured equity","","DIRECT — financed InnoVen Services (Dallas HVAC/plumbing/electrical roll-up)","N/A — lender","Financed InnoVen; also facilitated their equity raise","2024-11","1","CAP-008","Medium-High","https://www.businesswire.com/news/home/20241112148058/en/","Dual-role lender/capital-formation. Do not disclose anything from an InnoVen conversation.","","","","","","","","","",""
"ORG-020","CAMCO Investment Group","Family office / acquirer","OPERATOR_ACQUIRER","CLIENT","B","Dallas","TX","camcoig.com","","","","MEDIUM — real-estate heavy, expanding into operating companies","Has a Director of Acquisitions (see OPR-007)","Expanding from RE into operating-business acquisitions","2025","2","OPR-006; OPR-007","Medium","https://camcoig.com/","","","","","","","","","","",""
"ORG-021","Calvetti Ferguson (now Cherry Bekaert)","QofE / transaction advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Houston / Dallas / Fort Worth","TX","cbh.com","","","","N/A","","Buy-side QofE practice, no success fee","2026","1","REF-016","Medium-High","https://calvettiferguson.com/services/quality-of-earnings/","No-success-fee alignment mirrors THE LINE — a natural conversation.","","","","","","","","","",""
"ORG-022","CapitalPad","Independent-sponsor co-investment aggregator","CAPITAL_EQUITY","REFERRAL","B","Austin","TX","capitalpad.com","","$1-2.5M direct, aggregated via SPV","$1-7M (EV $5-30M)","DIRECT — explicitly likes residential and commercial services, route-based","Post-LOI co-investor","Charges sponsors NO fees; high sponsor throughput","2025","1","CAP-015","High on firm / None on individual","https://capitalpad.com/","[2026-08-18 client-register-v1 / P5-003] BEST P5 FIT: target industries explicitly listed incl. home services, facilities management, light manufacturing, commercial cleaning, specialty distribution.","P5_SEARCH_FUND_INVESTOR","","facilities_services|residential_hvac","","","yes","NONE","","VERIFIED","2026-08-17"
"ORG-023","Cherry Bekaert","Transaction advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Dallas","TX","cbh.com","","","","N/A","","Dallas market leader","2026","2","REF-017; REF-018","High","https://www.cbh.com/","","","","","","","","","","",""
"ORG-024","Dauntless Capital Partners","LMM PE","LMM_PE","CLIENT","B","Dallas","TX","","","","","MEDIUM — business services / manufacturing / defense / industrial tech","Lean partnership","Control buyouts","2025","1","PE-003","Medium on firm / None on individual","https://www.axial.net/","","P1_PE","","","","","","","","",""
"ORG-025","Engage PEO","Services","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board — membership","2026","1","REF-015","High","https://www.acg.org/dfw","First ACG contact chronologically.","","","","","","","","","",""
"ORG-026","First Citizens Bank","Lender","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-011","High","https://www.acg.org/dfw","Disproportionate practical value for a first-year member.","","","","","","","","","",""
"ORG-027","FirstCall Mechanical Group","Operator-acquirer, PE-backed (SkyKnight Capital)","OPERATOR_ACQUIRER","CLIENT","B","Austin","TX","firstcallmechanical.com","SkyKnight >$2.5B AUM","","","DIRECT — commercial HVAC / refrigeration / electrical / plumbing","PE-backed; verify internal BD before pitching","Private-credit senior secured facility upsized Sept 2025","2025-09","1","OPR-005","High","https://www.achrnews.com/articles/152616-skyknight-capital-launches-firstcall-mechanical-group-with-three-acquisitions","Commercial MEP fit; Austin not DFW.
prior source_url (2026-08-18): https://www.businesswire.com/
[2026-08-18 client-register-v1 / P4-021] LC Anderson (Aug 2025); CLS Facility Services. Texas HQ.","P4_PLATFORM","SkyKnight Capital","commercial_hvac|commercial_mep|building_automation|commercial_electrical","TX|FL|MA","","yes","T3","2025-08-27","VERIFIED","2026-08-17"
"ORG-028","Forvis Mazars US","Accounting / transaction advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-007","High","https://www.acg.org/dfw","","","","","","","","","","",""
"ORG-029","Gittemeier Ventures","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","","","","$1-5M","MEDIUM — Texas buy-and-hold","NO","Texas buy-and-hold acquisition mandate","2025","1","FO-011","Medium (identity inferred)","https://www.axial.net/","","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-030","Gulf Coast Small Business Lending (Gulf Coast Bank & Trust)","SBA 7(a) national PLP","CAPITAL_SBA","REFERRAL","B","Dallas","TX","gulfcoastsba.com","","","","Nationwide PLP; veteran program","N/A","Dallas-based national SBA PLP division","2026","1","SBA-003","High on firm / None on individual","https://gulfcoastsba.com/","Only DFW-headquartered SBA lender identified.","","","","","","","","","",""
"ORG-031","Hancock Whitney","Lender","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-010","High","https://www.acg.org/dfw","","","","","","","","","","",""
"ORG-032","Helium Capital","Independent sponsor","IND_SPONSOR","CLIENT","B","Houston","TX","","","","","DIRECT-ADJACENT — MRO facilities and industrial field services","NO","MRO / industrial field services focus","2025","1","IS-010","High on firm / None on individual","https://www.axial.net/","Strong fit; worth the naming effort.","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-033","Hersh Family Investments","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","hershfi.com","","","","MEDIUM — industrial / energy / direct PE","Unknown","Direct industrial investing","2025","1","FO-007","Medium","https://hershfi.com/","Profile height means a cold approach burns the shot.","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-034","HighVista Strategies","Emerging-manager / deal-by-deal sponsor backer","CAPITAL_EQUITY","REFERRAL","B","Boston","MA","","","","","LMM generalist","Allocator","Tracks approximately 700 independent sponsors","2025","1","CAP-016","Medium-High","https://www.themiddlemarket.com/","Out of state but uniquely high network value.","","","","","","","","","",""
"ORG-035","Institute of Global Competitiveness","PE network","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","N/A","ACG DFW board","2026","1","REF-005","High","https://www.acg.org/dfw","","","","","","","","","","",""
"ORG-036","Labora","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","labora.com","","","","MEDIUM-HIGH — electrical/solar distribution, real estate, PE","Unknown","Electrical-materials distribution holdings","2025","1","FO-008","Medium","https://labora.com/","","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-037","Live Oak Bank (NASDAQ: LOB)","SBA 7(a) lender — #1 by dollar FY2025","CAPITAL_SBA","REFERRAL","B","Wilmington","NC","","2,280 7(a) approvals, $2.8B FY2025","","","Vertical-underwriting acquisition specialist; 700+ credit; 30-60 day close","N/A","Reclaimed #1 SBA 7(a) position by dollar volume","2025-09","1","SBA-001","High on firm / None on individual","https://www.sba.gov/","","","","","","","","","","",""
"ORG-038","Lynch Holdings","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","","","","","DIRECT — explicit FIRE PROTECTION mandate plus early-stage tech","Unknown","Stated fire-protection investment mandate","2025","1","FO-012","High on mandate / None on individual","https://praxisrock.com/resources/investors/family-offices-dallas","Beachhead vertical match. Highest-value name-resolution task in the research queue.","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-039","National Fire & Safety (Highview Capital)","PE-backed platform","OPERATOR_ACQUIRER","CLIENT","B","","","","","","","DIRECT — FIRE & LIFE SAFETY; acquired Maxim Fire Systems and Texas Fire Alarm in DFW","PE-backed; verify","Two DFW fire & life safety acquisitions","2025","1","OPR-009","Medium-High","https://highviewcapital.com/portfolio/national-fire-safety/","Beachhead vertical + proven DFW appetite.
prior source_url (2026-08-18): https://highviewcap.com/
[2026-08-18 client-register-v1 / P4-035] 7 Western states. Frontier Fire Protection (Aug 2025), Elite FPS, RCI Systems. HQ and domain not verified.","P4_PLATFORM","Highview Capital","fire_life_safety","","","unknown","T3","2025-08-01","VERIFIED","2026-08-17"
"ORG-040","Oak Legacy Management","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","oaklegacy-us.com","","VC + LMM","industry-agnostic","LOW-MEDIUM — industry agnostic","Lean team","5-10 deals per year","2025","1","FO-005","Medium","https://oaklegacy-us.com/","High deal cadence is the qualifying signal.","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-041","Palo Duro Capital","LMM PE","LMM_PE","CLIENT","B","Dallas","TX","palodurocapital.com","","","","MEDIUM — industry-specialized LMM buyouts","Small team","Industry-specialized LMM buyouts","2025","1","PE-002","Medium on firm / None on individual","https://palodurocapital.com/","","P1_PE","","","","","","","","",""
"ORG-042","Pangea's Edge","Single family office","FAMILY_OFFICE","CLIENT","B","Addison","TX","pangeasedge.com","","","","LOW-MEDIUM — control and minority; PE/RE/energy","Unknown","THIN — recent direct activity not confirmed","","1","FO-009","Low-Medium","https://pangeasedge.com/","","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-043","Peninsula Capital Partners","Junior debt + structured equity","CAPITAL_EQUITY","REFERRAL","B","Southfield","MI","peninsulafunds.com","Fund VIII closed $400M (Sept 2025)","Junior debt + structured equity","LMM","LOW CONFIDENCE — broad industrials/services, no explicit trade statement","Origination team","Fund VIII $400M close","2025-09","1","CAP-009","Medium","https://peninsulafunds.com/","Out of state. Vertical fit unproven — verify before prioritizing.","","","","","","","","","",""
"ORG-044","Plexus Capital","Structured debt + equity co-invest","CAPITAL_EQUITY","REFERRAL","B","Raleigh / Charlotte","NC","plexuscap.com","Fund VII $977M","Debt + equity co-invest","$2-15M","DIRECT — Century Mechanical (HVAC home services); Climate Efficiency Partners","Origination team","Explicit HVAC/home-services portfolio; backs independent sponsors and search funds","2025","1","CAP-010","High on firm / None on individual","https://plexuscap.com/company/century-mechanical/","Do not message until a named person is confirmed. Firm-level record only.","","","","","","","","","",""
"ORG-045","RSM","Accounting / transaction advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-008","High","https://www.acg.org/dfw","","","","","","","","","","",""
"ORG-046","SR Capital Advisors","Independent sponsor","IND_SPONSOR","CLIENT","B","","","","","","","MEDIUM-HIGH — infrastructure services (J5 Infrastructure)","NO","17 PE investments","2026","1","IS-004","Medium-High","https://www.iglobalforum.com/","","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-047","SeatonHill Partners","Fractional CFO","REFERRAL_ACCOUNTING","REFERRAL","B","Fort Worth","TX","","","","","N/A","","ACG DFW board","2026","1","REF-009","High","https://www.acg.org/dfw","","","","","","","","","","",""
"ORG-048","SixFive Partners","Operator-led independent sponsor","IND_SPONSOR","CLIENT","B","","TX","","","$5-50M revenue targets","$2-10M","MEDIUM-HIGH — commercial and industrial service businesses","NO","Acquires commercial/industrial service businesses; founders become CEO","2025","2","IS-002; IS-003","Medium-High","https://www.axial.net/","","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-049","Sky Island Capital","LMM PE","LMM_PE","CLIENT","B","Dallas","TX","","","","","LOW-MEDIUM — North American niche manufacturing control deals","Small team — no dedicated BD identified","Control deals plus add-ons; founded 2018","2025","1","PE-001","Medium on firm / None on individual","https://www.axial.net/","Manufacturing focus is off-beachhead.","P1_PE","","","","","","","","",""
"ORG-050","Strait Lane Capital Partners","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","straitlanecapital.com","","","","MEDIUM — diversified direct acquisitions","Small team","Makosi acquisition","2026-01","1","FO-010","Medium","https://straitlanecapital.com/","","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-051","Sunflower Bank","Lender","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board; incoming president","2026","1","REF-006","High","https://www.acg.org/dfw","Long-horizon value: she will run the chapter next.","","","","","","","","","",""
"ORG-052","UrbanBuild (Bauer Investments)","Operator-acquirer","OPERATOR_ACQUIRER","CLIENT","B","Austin","TX","","","","","DIRECT — HVAC / plumbing","Unknown","We Cool LLC controlling stake; launching multi-trade services division","2026-02","1","OPR-008","Low-Medium","","Do NOT message until the individual is confirmed.","","","","","","","","","",""
"ORG-053","Whitley Penn","Accounting / deal advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Fort Worth","TX","whitleypenn.com","","","","N/A","","Fort Worth deal advisory practice","2026","1","REF-019","Medium-High","https://www.whitleypenn.com/","Better to find the practice lead than start at CEO.","","","","","","","","","",""
"ORG-054","AEC Equities, Inc.","Independent sponsor","IND_SPONSOR","CLIENT","C","","TX","","","","","MEDIUM-HIGH — infrastructure / engineering / construction platforms","Unknown","Infrastructure and construction platform focus","2025","1","IS-012","Medium on firm / None on individual","https://www.axial.net/","","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-055","Acharya Capital Partners","Independent sponsor","IND_SPONSOR","CLIENT","C","New York","NY","","","","","LOW-MEDIUM — generalist","NO","Active in the independent sponsor community","2026","1","IS-005","Medium","","","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-056","Apex Service Partners (Alpine/Partners Group/Apollo)","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","HVAC/plumbing/electrical","YES — dedicated origination/BD","Active institutional acquirer","2026","2","ECO-005; ECO-006","High","","75 local brands, 46 states, 13,000+ employees, $3B+ revenue. Fully resourced. Register intelligence and exit-buyer intelligence only.","","","","","","","","","",""
"ORG-057","BASE Equity Partners","Independent sponsor","IND_SPONSOR","CLIENT","C","New York","NY","","","","","LOW — generalist","NO","iGlobal ISS speaker; operator background","2026","1","IS-009","Medium","https://www.iglobalforum.com/","","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-058","Bernstein Private Wealth Management, Dallas","Wealth management","REFERRAL_WEALTH","REFERRAL","C","Dallas","TX","","","","","N/A","","Advises business owners","2026","1","REF-021","Medium","","CAUTION: wealth-manager relationships can drift toward sell-side referrals. Decline those.","","","","","","","","","",""
"ORG-059","Braes Bayou Company","Independent sponsor","IND_SPONSOR","CLIENT","C","","TX","","","","","MEDIUM — founder-led B2B service businesses","NO","Raises deal-by-deal","2025","1","IS-011","Medium on firm / None on individual","https://www.axial.net/","","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-060","Byline Bank","SBA 7(a) lender + sponsor senior cash-flow finance","CAPITAL_SBA","REFERRAL","C","Chicago","IL","","","","","Also does independent-sponsor senior cash-flow financing","N/A","Top-tier 7(a) plus sponsor lending","2026","1","SBA-004","Medium on firm / None on individual","","","","","","","","","","","",""
"ORG-061","CBIZ","Accounting","REFERRAL_ACCOUNTING","REFERRAL","C","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-014","High","https://www.acg.org/dfw","","","","","","","","","","",""
"ORG-062","CIBC Bank USA","Lender","REFERRAL_BANKING","REFERRAL","C","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-012","High","https://www.acg.org/dfw","","","","","","","","","","",""
"ORG-063","Cascadily LLC","Independent sponsor","IND_SPONSOR","CLIENT","C","","","","","","$5M+ revenue / $1M+ EBITDA","LOW — education sector","NO","iGlobal ISS speaker","2026","1","IS-007","Medium","https://www.iglobalforum.com/","Included for completeness only.","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-064","CenterOak Partners","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Services/industrials","YES — dedicated origination/BD","Active institutional acquirer","2026","2","ECO-001; ECO-002","High","","Has a dedicated BD partner — the disqualifying signal. Reframe as referral peer and potential exit buyer.","","","","","","","","","",""
"ORG-065","Centerfield Capital / Centerfield","Independent sponsor","IND_SPONSOR","CLIENT","C","","","","","","","LOW-MEDIUM","NO","Independent sponsor community","2026","1","IS-006","Low-Medium","","","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
"ORG-066","Cobepa","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Fire & life safety","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-008","High","","Bought Eagle Fire from Rosewood. Fire & life safety exit-buyer intelligence.","","","","","","","","","",""
"ORG-067","DPO&Co commercial HVAC platform","PE-backed platform","OPERATOR_ACQUIRER","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","DIRECT — commercial HVAC","LIKELY YES — 20 deals in 22 months implies a built origination machine","20 acquisitions in 22 months","2025","1","OPR-010","Medium","","Deal velocity is the disqualifier — they already solved sourcing.","","","","","","","","","",""
"ORG-068","Farlie Turner & Co","LMM investment bank","REFERRAL_BANKING","REFERRAL","C","","","","","","","N/A","","LMM M&A advisory","2026","1","REF-020","Medium","","","","","","","","","","","",""
"ORG-069","Ferghana Investment Partners","Investor","REFERRAL_BANKING","REFERRAL","C","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-013","High","https://www.acg.org/dfw","","","","","","","","","","",""
"ORG-070","Gupta Capital Group","Single family office","FAMILY_OFFICE","CLIENT","C","Dallas","TX","guptacapitalgroup.com","","","","MEDIUM — steel/metals manufacturing and distribution, control PE","Unknown","Industrial control buyouts","2025","1","FO-013","Medium on firm / None on individual","https://guptacapitalgroup.com/","","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-071","Huntington National Bank (NASDAQ: HBAN)","SBA 7(a) lender — #1 by loan count FY2025","CAPITAL_SBA","REFERRAL","C","Columbus","OH","",">6,000 7(a) approvals FY2025; top by count 7 consecutive years","","","Generalist; strong Midwest/Mid-Atlantic; 1.90% acquisition default rate","N/A","Highest 7(a) loan count nationally","2025-09","1","SBA-002","High on firm / None on individual","https://www.sba.gov/","","","","","","","","","","",""
"ORG-072","Legacy Service Partners (Gridiron Capital)","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","HVAC/plumbing/electrical","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-011","High","","50+ brand target across HVAC/plumbing/electrical. Fully resourced.","","","","","","","","","",""
"ORG-073","OMERS Private Equity","PE-backed platform / institutional sponsor","ECOSYSTEM","ECOSYSTEM_DO_NOT_PITCH","C","","","","","","","Commercial HVAC","YES — dedicated origination/BD","Active institutional acquirer","2026","1","ECO-009","High","","Pueblo Mechanical sponsor; three Texas add-ons. Register intelligence.","","","","","","","","","",""
"ORG-074","Prodos Capital","Independent sponsor","IND_SPONSOR","CLIENT","C","New York","NY","","","","","LOW — generalist","NO","iGlobal ISS speaker","2026","1","IS-008","Medium","https://www.iglobalforum.com/","","P3_INDEPENDENT_SPONSOR","","","","","","","","",""
